,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,37,46,408,7,14,0,8,1.1282051282051282,132,40,1,20,13,21,4,0,0,0,1,11,132,40,1,20,13,21,4,0,0,0,1,51,84,58,26,91,129,174,0,235,0,6,1,0.0,0,2003-01-25 00:00:04,1043452804,7,10,12,310
1,69,70,703,5,15,0,4,0.967032967032967,285,53,0,53,34,10,3,0,16,0,0,12,285,53,0,53,34,10,3,0,16,0,0,178,125,72,53,148,100,321,18,322,2,11,0,0.16071428571428573,4,2003-01-25 02:00:04,1043460004,5,11,85,513
2,1102,1170,8514,7,19,0,133,1.4559853284428144,3201,443,5,991,599,177,105,350,52,25,7,15,3201,443,5,991,599,177,105,350,52,25,7,2076,2520,1941,579,1269,1290,2625,287,2974,14,222,104,0.03370918487197557,4,2003-01-25 04:00:04,1043467204,6,12,849,5661
3,3536,3946,25588,4,20,0,1618,1.234057251414015,13928,1666,15,3115,1788,459,426,1508,135,32,23,16,13928,1666,15,3115,1788,459,426,1508,135,32,23,8836,8576,6708,1868,4131,1149,4569,581,9549,7,599,252,0.022705955916836017,3,2003-01-25 06:00:04,1043474404,4,12,837,15352
4,2286,2569,14105,3,20,0,319,1.2085090072824838,7531,1124,6,1898,964,349,868,151,77,22,35,12,7531,1124,6,1898,964,349,868,151,77,22,35,4736,4718,3461,1257,3272,668,3558,263,5804,72,365,200,0.018645870258773484,4,2003-01-25 08:00:04,1043481604,3,13,285,8219
5,1166,1211,8941,5,20,0,179,0.9487179487179487,5423,503,14,1056,574,125,323,85,68,4,5,15,5423,503,14,1056,574,125,323,85,68,4,5,3956,2337,1693,644,1718,243,2929,147,3884,41,278,109,0.01644111396935466,3,2003-01-25 10:00:04,1043488804,4,12,341,5920
6,1008,929,6655,7,16,0,523,0.8720761413131151,4103,404,5,942,382,132,114,60,35,2,12,13,4103,404,5,942,382,132,114,60,35,2,12,2626,1573,1083,490,1477,201,1957,86,2711,3,285,66,0.012922614575507137,3,2003-01-25 12:00:04,1043496004,7,11,46,4062
7,467,621,4115,5,21,0,227,0.8413461538461539,2751,277,1,472,193,38,77,75,47,9,7,13,2751,277,1,472,193,38,77,75,47,9,7,1988,1128,792,336,609,94,1185,75,1628,0,246,87,0.018226002430133656,3,2003-01-25 14:00:04,1043503204,5,10,92,2587
8,283,329,3307,5,21,0,192,0.6572632944228275,2406,142,2,218,118,59,41,62,34,0,1,15,2406,142,2,218,118,59,41,62,34,0,1,1797,627,376,251,468,129,1111,111,1299,2,199,67,0.03356516480193529,3,2003-01-25 16:00:04,1043510404,5,14,21,2345
9,457,416,2914,3,19,0,167,0.8095946448493864,1727,386,0,322,108,38,29,59,13,0,4,15,1727,386,0,322,108,38,29,59,13,0,4,1229,762,604,158,531,145,854,105,1123,0,215,43,0.03603294440631435,3,2003-01-25 18:00:04,1043517604,3,9,32,1857
10,363,364,2384,5,17,0,74,0.9084412684234033,1465,150,0,387,68,54,42,45,20,2,6,9,1465,150,0,387,68,54,42,45,20,2,6,1142,497,399,98,526,79,630,64,842,0,170,8,0.026845637583892617,3,2003-01-25 20:00:04,1043524804,5,13,23,1612
11,249,238,2076,10,16,0,150,0.672517552657974,1440,203,0,191,32,46,31,36,15,0,0,7,1440,203,0,191,32,46,31,36,15,0,0,1083,401,336,65,360,43,436,42,714,0,189,16,0.02023121387283237,2,2003-01-25 22:00:04,1043532004,4,12,11,1524
