,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,127,8,0,28,0,0,0.0,0,0.927007299270073,0.4409448818897638,0.15151515151515152,0.0,0.4409448818897638,0.8484848484848485,0.7678571428571429,0.23214285714285715,0.07874015748031496,0.4,0.031496062992125984,0.08661417322834646,1.0,0.0,0.0,0.11811023622047244,0.6,0.072992700729927,2004-12-22 00:00:08,1103673608,2,10
1,342,13,0,49,0,0,0.0,0,0.9827586206896551,0.6257309941520468,0.05263157894736842,0.005847953216374269,0.3157894736842105,0.9473684210526315,0.8981481481481481,0.10185185185185185,0.09064327485380116,0.45588235294117646,0.023391812865497075,0.029239766081871343,0.8942307692307693,0.0,0.10576923076923077,0.10818713450292397,0.5441176470588235,0.017241379310344827,2004-12-22 00:01:08,1103673668,6,6
2,932,14,0,30,2,9,0.0049751243781094535,2,0.9800210304942166,0.9055793991416309,0.21348314606741572,0.004291845493562232,0.07510729613733906,0.7865168539325843,0.9428571428571428,0.05714285714285714,0.033261802575107295,0.543859649122807,0.015021459227467811,0.0,0.7912087912087912,0.0,0.2087912087912088,0.027896995708154508,0.45614035087719296,0.019978969505783387,2004-12-22 00:02:08,1103673728,7,19
3,80,9,0,25,1,5,0.0125,1,0.9411764705882353,0.6125,0.15151515151515152,0.0,0.35,0.8484848484848485,0.8928571428571429,0.10714285714285714,0.0375,0.23076923076923078,0.0375,0.0,0.6909090909090909,0.0,0.3090909090909091,0.125,0.7692307692307693,0.058823529411764705,2004-12-22 00:03:08,1103673788,4,5
4,29,6,0,11,19,0,0.6551724137931034,2,0.9666666666666667,0.4827586206896552,0.0625,0.0,0.5172413793103449,0.9375,0.8666666666666667,0.13333333333333333,0.13793103448275862,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,2004-12-22 00:04:08,1103673848,5,1
5,86,13,0,12,29,0,0.3372093023255814,3,0.945054945054945,0.5,0.12195121951219512,0.011627906976744186,0.4186046511627907,0.8780487804878049,0.7222222222222222,0.2777777777777778,0.10465116279069768,0.4090909090909091,0.05813953488372093,0.011627906976744186,1.0,0.0,0.0,0.1511627906976744,0.5909090909090909,0.054945054945054944,2004-12-22 00:05:08,1103673908,3,5
6,70,7,0,11,15,0,0.21428571428571427,2,0.958904109589041,0.6285714285714286,0.12,0.014285714285714285,0.3142857142857143,0.88,0.9545454545454546,0.045454545454545456,0.1,0.4666666666666667,0.02857142857142857,0.014285714285714285,1.0,0.0,0.0,0.11428571428571428,0.5333333333333333,0.0410958904109589,2004-12-22 00:06:08,1103673968,4,3
7,64,10,0,15,6,0,0.09375,2,0.9696969696969697,0.625,0.1,0.015625,0.28125,0.9,1.0,0.0,0.0625,0.4444444444444444,0.015625,0.0625,1.0,0.0,0.0,0.078125,0.5555555555555556,0.030303030303030304,2004-12-22 00:07:08,1103674028,5,2
8,120,6,0,38,14,0,0.11666666666666667,3,0.9836065573770492,0.5833333333333334,0.04081632653061224,0.0,0.39166666666666666,0.9591836734693877,0.9787234042553191,0.02127659574468085,0.13333333333333333,0.5,0.016666666666666666,0.008333333333333333,1.0,0.0,0.0,0.13333333333333333,0.5,0.01639344262295082,2004-12-22 00:08:08,1103674088,4,2
9,193,8,0,25,13,0,0.06735751295336788,3,0.9368932038834952,0.5077720207253886,0.13978494623655913,0.0,0.41450777202072536,0.8602150537634409,0.9875,0.0125,0.16062176165803108,0.484375,0.07772020725388601,0.0,1.0,0.0,0.0,0.17098445595854922,0.515625,0.06310679611650485,2004-12-22 00:09:08,1103674148,5,13
