,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,1779,18,0,544,65,155,0.08333333333333333,4,0.9493062966915689,0.13771781899943789,0.06401617250673855,0.01854974704890388,0.7807757166947723,0.9359838274932615,0.937365010799136,0.06263498920086392,0.2641933670601461,0.4644268774703557,0.020798201236649803,0.04215851602023609,0.8564850345356869,0.0,0.1435149654643131,0.3046655424395728,0.5355731225296443,0.05069370330843116,2016-04-20 00:05:01,1461110701,5,95
1,2501,21,0,680,86,259,0.03438624550179928,4,0.9578705476828802,0.1519392243102759,0.05228136882129278,0.004398240703718513,0.797281087564974,0.9477186311787072,0.9523570712136409,0.047642928786359076,0.3062774890043982,0.4564958283671037,0.026789284286285485,0.019592163134746102,0.8414322250639387,0.0,0.1585677749360614,0.36465413834466215,0.5435041716328963,0.04212945231711988,2016-04-20 00:10:01,1461111001,5,110
2,2333,16,0,672,94,93,0.04029147021003,6,0.9640495867768595,0.11873124732104587,0.04275184275184275,0.006429489927132447,0.8349764252036005,0.9572481572481573,0.8963039014373717,0.10369609856262833,0.3669095585083583,0.5306881587104774,0.010715816545220747,0.02914702100300043,0.8348134991119005,0.0,0.16518650088809947,0.3244749249892842,0.46931184128952264,0.03595041322314049,2016-04-20 00:15:01,1461111301,7,87
3,1695,17,0,431,77,116,0.04542772861356932,3,0.9172077922077922,0.18938053097345134,0.10874200426439233,0.008849557522123894,0.7398230088495575,0.8912579957356077,0.970494417862839,0.029505582137161084,0.31504424778761064,0.5421319796954315,0.04896755162241888,0.012979351032448377,0.8820014936519791,0.0,0.1179985063480209,0.26607669616519175,0.4578680203045685,0.08279220779220779,2016-04-20 00:20:01,1461111601,5,153
4,1879,40,0,594,98,98,0.05215540180947312,4,0.9306587419514611,0.0883448642895157,0.0824014125956445,0.017030335284725917,0.8296966471527408,0.9175985874043555,0.9518922386144965,0.04810776138550353,0.3065460351250665,0.4873096446700508,0.04097924427887174,0.023948908994145823,0.8806959403479702,0.0,0.11930405965202982,0.3225119744544971,0.5126903553299492,0.06934125804853888,2016-04-20 00:25:01,1461111901,5,140
5,2080,40,0,542,144,148,0.06923076923076922,3,0.9067131647776809,0.13509615384615384,0.11580086580086581,0.011057692307692308,0.7855769230769231,0.8841991341991342,0.9675642594859241,0.03243574051407589,0.3528846153846154,0.5437037037037037,0.058653846153846154,0.009615384615384616,0.8904619970193741,0.0,0.10953800298062594,0.29615384615384616,0.4562962962962963,0.09328683522231909,2016-04-20 00:30:01,1461112201,5,214
6,1394,18,0,334,149,50,0.10688665710186514,3,0.8658385093167702,0.16857962697274032,0.17748562037797863,0.03945480631276901,0.7180774748923959,0.8225143796220213,0.9630369630369631,0.03696303696303696,0.31061692969870874,0.6022253129346314,0.062410329985652796,0.011477761836441894,0.8949044585987261,0.0,0.10509554140127389,0.20516499282639886,0.39777468706536856,0.1341614906832298,2016-04-20 00:35:01,1461112501,3,216
7,1848,18,0,527,83,63,0.04491341991341991,3,0.9404580152671755,0.13528138528138528,0.07652060170045781,0.022186147186147188,0.7640692640692641,0.9234793982995422,0.9553824362606232,0.04461756373937677,0.3143939393939394,0.47120843471208435,0.0670995670995671,0.011363636363636364,0.9178910976663786,0.0,0.08210890233362143,0.3528138528138528,0.5287915652879156,0.059541984732824425,2016-04-20 00:40:01,1461112801,3,117
8,2530,22,0,570,174,57,0.06877470355731226,3,0.9412202380952381,0.1826086956521739,0.07771765863256272,0.022529644268774702,0.741106719367589,0.9222823413674373,0.9818666666666667,0.018133333333333335,0.31343873517786563,0.5495495495495496,0.045454545454545456,0.008300395256916997,0.9322845417236663,0.004103967168262654,0.06361149110807114,0.25691699604743085,0.45045045045045046,0.058779761904761904,2016-04-20 00:45:01,1461113101,5,158
9,2168,17,0,581,82,196,0.03782287822878229,3,0.9631274988893825,0.09363468634686346,0.04320666319625195,0.014760147601476014,0.8477859778597786,0.956793336803748,0.9640914036996736,0.035908596300326445,0.31595940959409596,0.520516717325228,0.03413284132841329,0.009686346863468635,0.9086251067463706,0.0017079419299743809,0.089666951323655,0.2910516605166052,0.479483282674772,0.0368725011106175,2016-04-20 00:50:01,1461113401,5,83
