,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,1510,14,0,100,22,14,0.043052837573385516,2,0.973565441650548,0.7794701986754967,0.1289308176100629,0.003973509933774834,0.18344370860927153,0.8710691823899371,0.8808664259927798,0.11913357400722022,0.05231788079470199,0.47305389221556887,0.019205298013245033,0.01390728476821192,0.8630705394190872,0.0,0.13692946058091288,0.05827814569536424,0.5269461077844312,0.026434558349451968,2004-12-22 00:00:08,1103673608,5,41
1,533,13,0,72,77,0,0.14446529080675422,3,0.9551971326164874,0.5534709193245778,0.10964912280701754,0.005628517823639775,0.3808630393996248,0.8903508771929824,0.9359605911330049,0.06403940886699508,0.12570356472795496,0.47183098591549294,0.04690431519699812,0.013133208255159476,1.0,0.0,0.0,0.14071294559099437,0.528169014084507,0.044802867383512544,2004-12-22 00:05:08,1103673908,5,25
2,801,10,0,83,39,0,0.048689138576779034,2,0.9346557759626605,0.6841448189762797,0.2153846153846154,0.0,0.2546816479400749,0.7846153846153846,0.9705882352941176,0.029411764705882353,0.11860174781523096,0.5523255813953488,0.049937578027465665,0.011235955056179775,0.9567723342939481,0.0,0.043227665706051875,0.09612983770287141,0.4476744186046512,0.06534422403733955,2004-12-22 00:10:08,1103674208,4,56
3,333,10,0,43,33,0,0.0990990990990991,2,0.9301675977653632,0.4774774774774775,0.1388888888888889,0.0,0.46546546546546547,0.8611111111111112,0.9161290322580645,0.08387096774193549,0.16216216216216217,0.5242718446601942,0.05405405405405406,0.003003003003003003,0.9392523364485982,0.0,0.06074766355140187,0.14714714714714713,0.47572815533980584,0.06983240223463687,2004-12-22 00:15:08,1103674508,5,25
4,494,10,0,60,133,0,0.2692307692307692,5,0.9131238447319778,0.5728744939271255,0.21076233183856502,0.01417004048582996,0.3562753036437247,0.7892376681614349,0.9602272727272727,0.03977272727272727,0.1659919028340081,0.640625,0.05465587044534413,0.0020242914979757085,0.9737704918032787,0.0,0.02622950819672131,0.0931174089068826,0.359375,0.08687615526802218,2004-12-22 00:20:08,1103674808,4,47
5,883,14,0,155,119,0,0.1347678369195923,4,0.9494623655913978,0.46885617214043035,0.1,0.0033975084937712344,0.47904869762174407,0.9,0.7328605200945626,0.26713947990543735,0.1438278595696489,0.5059760956175299,0.0464326160815402,0.0022650056625141564,0.9644970414201184,0.0,0.03550295857988166,0.1404303510758777,0.4940239043824701,0.05053763440860215,2004-12-22 00:25:08,1103675108,5,47
6,598,14,0,64,91,0,0.15217391304347827,3,0.9358372456964006,0.5167224080267558,0.1453900709219858,0.0,0.40301003344481606,0.8546099290780141,0.921161825726141,0.07883817427385892,0.14046822742474915,0.5060240963855421,0.07692307692307693,0.0033444816053511705,0.9299191374663073,0.0,0.07008086253369272,0.13712374581939799,0.4939759036144578,0.06416275430359937,2004-12-22 00:30:08,1103675408,3,41
7,1481,10,0,92,89,0,0.060094530722484815,3,0.9724228496388706,0.6792707629979743,0.08898305084745763,0.0,0.29034436191762325,0.9110169491525424,0.9837209302325581,0.01627906976744186,0.11073598919648886,0.5273311897106109,0.029709655638082377,0.0006752194463200541,0.9898089171974522,0.0,0.01019108280254777,0.09925725860904794,0.47266881028938906,0.02757715036112935,2004-12-22 00:35:08,1103675708,7,42
8,572,11,0,69,87,6,0.1520979020979021,3,0.933115823817292,0.6048951048951049,0.17982456140350878,0.008741258741258742,0.3269230769230769,0.8201754385964912,0.8716577540106952,0.12834224598930483,0.12062937062937062,0.5307692307692308,0.057692307692307696,0.0017482517482517483,0.9722863741339491,0.0,0.02771362586605081,0.10664335664335664,0.46923076923076923,0.06688417618270799,2004-12-22 00:40:08,1103676008,3,41
9,814,11,0,95,68,3,0.08353808353808354,3,0.9432213209733488,0.628992628992629,0.1644295302013423,0.018427518427518427,0.3058968058968059,0.8355704697986577,0.9076305220883534,0.09236947791164658,0.09336609336609336,0.5100671140939598,0.04176904176904177,0.004914004914004914,0.9518072289156626,0.0,0.04819277108433735,0.08968058968058969,0.4899328859060403,0.056778679026651215,2004-12-22 00:45:08,1103676308,4,49
10,904,15,0,85,83,2,0.0918141592920354,2,0.923391215526047,0.6769911504424779,0.25510204081632654,0.00995575221238938,0.24225663716814158,0.7448979591836735,0.821917808219178,0.1780821917808219,0.08185840707964602,0.4900662251655629,0.061946902654867256,0.008849557522123894,0.9591439688715954,0.0,0.04085603112840467,0.08517699115044247,0.5099337748344371,0.07660878447395301,2004-12-22 00:50:08,1103676608,6,75
11,654,15,0,74,66,0,0.10091743119266056,2,0.9464544138929089,0.6529051987767585,0.15948275862068967,0.0045871559633027525,0.2981651376146789,0.8405172413793104,0.9230769230769231,0.07692307692307693,0.09785932721712538,0.512,0.04128440366972477,0.0030581039755351682,0.9681647940074907,0.0,0.031835205992509365,0.09327217125382263,0.488,0.053545586107091175,2004-12-22 00:55:08,1103676908,4,37
12,1558,14,0,115,131,0,0.0840821566110398,3,0.9605425400739828,0.7053915275994865,0.13704496788008566,0.003209242618741977,0.25866495507060333,0.8629550321199143,0.9454094292803971,0.05459057071960298,0.10526315789473684,0.5714285714285714,0.03273427471116817,0.0,1.0,0.0,0.0,0.07894736842105263,0.42857142857142855,0.03945745992601726,2004-12-22 01:00:08,1103677208,5,64
13,1010,10,0,138,53,6,0.052475247524752466,2,0.9711538461538461,0.600990099009901,0.07692307692307693,0.0039603960396039604,0.3564356435643564,0.9230769230769231,0.9055555555555556,0.09444444444444444,0.10198019801980197,0.42738589211618255,0.03762376237623762,0.0009900990099009901,0.9732142857142857,0.0,0.026785714285714284,0.13663366336633664,0.5726141078838174,0.028846153846153848,2004-12-22 01:05:08,1103677508,4,30
14,1373,13,0,143,56,3,0.04078659868900218,3,0.9475500345065563,0.5600873998543335,0.12603648424543948,0.025491624180626365,0.3838310269482884,0.8739635157545605,0.9829222011385199,0.017077798861480076,0.1842680262199563,0.5659955257270693,0.03058994901675164,0.0,0.9527027027027027,0.0,0.0472972972972973,0.1412964311726147,0.43400447427293065,0.05244996549344375,2004-12-22 01:10:08,1103677808,4,76
15,646,14,0,118,38,3,0.05882352941176471,2,0.9486049926578561,0.46594427244582043,0.10736196319018405,0.0046439628482972135,0.4504643962848297,0.8926380368098159,0.8316151202749141,0.16838487972508592,0.11455108359133127,0.36633663366336633,0.06037151702786378,0.018575851393188854,0.9638157894736842,0.0,0.03618421052631579,0.19814241486068113,0.6336633663366337,0.0513950073421439,2004-12-22 01:15:08,1103678108,4,35
16,511,15,0,74,93,0,0.18199608610567514,3,0.9092526690391459,0.6340508806262231,0.25,0.005870841487279843,0.299412915851272,0.75,0.9281045751633987,0.0718954248366013,0.11154598825831702,0.6129032258064516,0.05675146771037182,0.003913894324853229,0.9801324503311258,0.0,0.019867549668874173,0.07045009784735812,0.3870967741935484,0.09074733096085409,2004-12-22 01:20:08,1103678408,5,51
17,447,15,0,67,48,1,0.10738255033557048,2,0.9197530864197531,0.5838926174496645,0.20103092783505155,0.006711409395973154,0.34675615212527966,0.7989690721649485,0.8709677419354839,0.12903225806451613,0.09843400447427293,0.5301204819277109,0.06263982102908278,0.0,0.9735849056603774,0.0,0.026415094339622643,0.087248322147651,0.46987951807228917,0.08024691358024691,2004-12-22 01:25:08,1103678708,5,39
18,228,15,0,35,5,0,0.02192982456140351,1,0.9047619047619048,0.5745614035087719,0.24742268041237114,0.021929824561403508,0.3201754385964912,0.7525773195876289,0.9452054794520548,0.0547945205479452,0.13596491228070176,0.5081967213114754,0.08333333333333333,0.0,0.8858695652173914,0.0,0.11413043478260869,0.13157894736842105,0.4918032786885246,0.09523809523809523,2004-12-22 01:30:08,1103679008,4,24
19,647,14,0,126,149,0,0.2302936630602782,4,0.9190340909090909,0.38794435857805254,0.1425,0.0030911901081916537,0.5301391035548686,0.8575,0.9854227405247813,0.014577259475218658,0.19165378670788252,0.5344827586206896,0.07882534775888717,0.0,0.978319783197832,0.0,0.02168021680216802,0.16692426584234932,0.46551724137931033,0.08096590909090909,2004-12-22 01:35:08,1103679308,4,57
20,589,9,0,61,38,0,0.06451612903225806,3,0.9349206349206349,0.47198641765704585,0.1331168831168831,0.001697792869269949,0.4533106960950764,0.8668831168831169,0.6704119850187266,0.3295880149812734,0.0730050933786078,0.45263157894736844,0.0730050933786078,0.0,0.9102990033222591,0.0,0.08970099667774087,0.08828522920203735,0.5473684210526316,0.06507936507936508,2004-12-22 01:40:08,1103679608,5,41
21,1549,10,0,155,105,10,0.06778566817301485,3,0.9491421568627451,0.6772111039380245,0.16666666666666666,0.023240800516462233,0.2679147837314396,0.8333333333333334,0.9373493975903614,0.06265060240963856,0.036797934151065206,0.4351145038167939,0.028405422853453842,0.0032278889606197547,0.8174037089871612,0.0,0.1825962910128388,0.04777275661717237,0.5648854961832062,0.0508578431372549,2004-12-22 01:45:08,1103679908,4,83
22,433,12,0,51,84,0,0.19399538106235567,5,0.9331896551724138,0.558891454965358,0.16145833333333334,0.004618937644341801,0.371824480369515,0.8385416666666666,0.937888198757764,0.062111801242236024,0.13856812933025403,0.5217391304347826,0.06235565819861432,0.0023094688221709007,0.8603174603174604,0.0,0.13968253968253969,0.12702078521939955,0.4782608695652174,0.0668103448275862,2004-12-22 01:50:08,1103680208,4,31
