,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,120,13,0,120,0,0,0.0,0,0.967741935483871,0.0,0.03333333333333333,0.0,0.9666666666666667,0.9666666666666667,0.9827586206896551,0.017241379310344827,0.008333333333333333,0.009615384615384616,0.008333333333333333,0.025,0.7857142857142857,0.0,0.21428571428571427,0.8583333333333333,0.9903846153846154,0.03225806451612903,2001-07-17 00:50:50,995331050,7,4
1,25,12,0,22,0,2,0.0,0,0.78125,0.12,0.2692307692307692,0.0,0.76,0.7307692307692307,1.0,0.0,0.04,0.25,0.0,0.12,0.7272727272727273,0.0,0.2727272727272727,0.12,0.75,0.21875,2001-07-17 00:51:50,995331110,4,7
2,36,13,0,31,0,0,0.0,0,0.7659574468085106,0.19444444444444445,0.3333333333333333,0.16666666666666666,0.6111111111111112,0.6666666666666666,1.0,0.0,0.3333333333333333,0.631578947368421,0.0,0.027777777777777776,0.8571428571428571,0.0,0.14285714285714285,0.19444444444444445,0.3684210526315789,0.23404255319148937,2001-07-17 00:52:50,995331170,4,11
3,23,9,0,22,0,0,0.0,0,0.4791666666666667,0.08695652173913043,0.7142857142857143,0.34782608695652173,0.43478260869565216,0.2857142857142857,1.0,0.0,0.2608695652173913,0.75,0.0,0.13043478260869565,0.7692307692307693,0.0,0.23076923076923078,0.08695652173913043,0.25,0.5208333333333334,2001-07-17 00:53:50,995331230,4,25
4,39,8,0,34,0,0,0.0,0,0.975,0.02564102564102564,0.045454545454545456,0.28205128205128205,0.5384615384615384,0.9545454545454546,1.0,0.0,0.20512820512820512,0.5714285714285714,0.02564102564102564,0.1282051282051282,0.8148148148148148,0.0,0.18518518518518517,0.15384615384615385,0.42857142857142855,0.025,2001-07-17 00:54:50,995331290,5,1
5,58,9,0,48,0,0,0.0,0,0.7435897435897436,0.06896551724137931,0.36363636363636365,0.27586206896551724,0.603448275862069,0.6363636363636364,0.9142857142857143,0.08571428571428572,0.20689655172413793,0.5714285714285714,0.034482758620689655,0.017241379310344827,0.8,0.0,0.2,0.15517241379310345,0.42857142857142855,0.2564102564102564,2001-07-17 00:55:50,995331350,6,20
6,33,13,0,29,0,4,0.0,0,0.825,0.12121212121212122,0.22580645161290322,0.06060606060606061,0.7272727272727273,0.7741935483870968,1.0,0.0,0.30303030303030304,0.7142857142857143,0.06060606060606061,0.030303030303030304,0.8260869565217391,0.0,0.17391304347826086,0.12121212121212122,0.2857142857142857,0.175,2001-07-17 00:56:50,995331410,5,7
7,30,14,0,25,0,0,0.0,0,0.8333333333333334,0.0,0.20689655172413793,0.03333333333333333,0.7666666666666667,0.7931034482758621,1.0,0.0,0.23333333333333334,0.4375,0.16666666666666666,0.03333333333333333,0.7916666666666666,0.0,0.20833333333333334,0.3,0.5625,0.16666666666666666,2001-07-17 00:57:50,995331470,4,6
8,22,13,0,20,0,9,0.0,0,0.5365853658536586,0.0,0.475,0.0,0.9545454545454546,0.525,1.0,0.0,0.13636363636363635,0.2,0.0,0.045454545454545456,0.8571428571428571,0.0,0.14285714285714285,0.5454545454545454,0.8,0.4634146341463415,2001-07-17 00:58:50,995331530,5,19
9,54,13,0,43,0,0,0.0,0,0.9642857142857143,0.0,0.058823529411764705,0.37037037037037035,0.5925925925925926,0.9411764705882353,1.0,0.0,0.037037037037037035,0.2857142857142857,0.0,0.037037037037037035,0.75,0.0,0.25,0.09259259259259259,0.7142857142857143,0.03571428571428571,2001-07-17 00:59:50,995331590,5,2
10,35,13,0,33,0,9,0.0,0,0.7777777777777778,0.08571428571428572,0.3125,0.0,0.6285714285714286,0.6875,1.0,0.0,0.42857142857142855,0.7894736842105263,0.02857142857142857,0.2571428571428571,0.9473684210526315,0.0,0.05263157894736842,0.11428571428571428,0.21052631578947367,0.2222222222222222,2001-07-17 01:00:50,995331650,6,10
11,32,12,0,31,0,0,0.0,0,0.5423728813559322,0.0625,0.5094339622641509,0.09375,0.8125,0.49056603773584906,1.0,0.0,0.40625,0.8666666666666667,0.03125,0.0,0.95,0.0,0.05,0.0625,0.13333333333333333,0.4576271186440678,2001-07-17 01:01:50,995331710,5,27
12,48,8,0,37,0,0,0.0,0,0.631578947368421,0.020833333333333332,0.3888888888888889,0.041666666666666664,0.9166666666666666,0.6111111111111112,1.0,0.0,0.3541666666666667,0.7083333333333334,0.020833333333333332,0.0,0.9333333333333333,0.0,0.06666666666666667,0.14583333333333334,0.2916666666666667,0.3684210526315789,2001-07-17 01:02:50,995331770,4,28
13,80,9,0,55,0,2,0.0,0,0.8695652173913043,0.1375,0.1791044776119403,0.1625,0.6875,0.8208955223880597,0.9818181818181818,0.01818181818181818,0.1875,0.7894736842105263,0.0,0.0125,0.8181818181818182,0.0,0.18181818181818182,0.05,0.21052631578947367,0.13043478260869565,2001-07-17 01:03:50,995331830,5,12
14,60,10,0,53,0,9,0.0,0,0.8,0.08333333333333333,0.2727272727272727,0.15,0.6666666666666666,0.7272727272727273,1.0,0.0,0.05,0.17647058823529413,0.05,0.05,0.8275862068965517,0.0,0.1724137931034483,0.23333333333333334,0.8235294117647058,0.2,2001-07-17 01:04:50,995331890,5,15
15,15,7,0,12,0,0,0.0,0,0.625,0.06666666666666667,0.5294117647058824,0.3333333333333333,0.5333333333333333,0.47058823529411764,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.7272727272727273,0.0,0.2727272727272727,0.4666666666666667,1.0,0.375,2001-07-17 01:05:50,995331950,7,9
16,47,7,0,40,0,0,0.0,0,0.9591836734693877,0.10638297872340426,0.05405405405405406,0.0851063829787234,0.7446808510638298,0.9459459459459459,0.9428571428571428,0.05714285714285714,0.46808510638297873,0.9565217391304348,0.0425531914893617,0.02127659574468085,1.0,0.0,0.0,0.02127659574468085,0.043478260869565216,0.04081632653061224,2001-07-17 01:06:50,995332010,6,2
17,89,7,0,78,0,0,0.0,0,0.978021978021978,0.02247191011235955,0.04081632653061224,0.42696629213483145,0.5280898876404494,0.9591836734693877,0.9787234042553191,0.02127659574468085,0.15730337078651685,0.56,0.011235955056179775,0.011235955056179775,0.9583333333333334,0.0,0.041666666666666664,0.12359550561797752,0.44,0.02197802197802198,2001-07-17 01:07:50,995332070,6,2
18,42,14,0,39,0,0,0.0,0,0.8571428571428571,0.023809523809523808,0.1891891891891892,0.023809523809523808,0.7142857142857143,0.8108108108108109,0.9333333333333333,0.06666666666666667,0.42857142857142855,0.6206896551724138,0.09523809523809523,0.14285714285714285,0.9444444444444444,0.0,0.05555555555555555,0.2619047619047619,0.3793103448275862,0.14285714285714285,2001-07-17 01:08:50,995332130,5,7
19,30,9,0,28,0,0,0.0,0,0.9375,0.0,0.06666666666666667,0.0,0.9333333333333333,0.9333333333333333,0.9285714285714286,0.07142857142857142,0.16666666666666666,0.7142857142857143,0.06666666666666667,0.0,1.0,0.0,0.0,0.06666666666666667,0.2857142857142857,0.0625,2001-07-17 01:09:50,995332190,6,2
20,41,6,0,34,0,0,0.0,0,0.9318181818181818,0.07317073170731707,0.08108108108108109,0.0,0.8292682926829268,0.918918918918919,1.0,0.0,0.1951219512195122,0.3333333333333333,0.024390243902439025,0.07317073170731707,0.8333333333333334,0.0,0.16666666666666666,0.3902439024390244,0.6666666666666666,0.06818181818181818,2001-07-17 01:10:50,995332250,5,3
21,29,8,0,22,0,0,0.0,0,0.9666666666666667,0.034482758620689655,0.037037037037037035,0.0,0.896551724137931,0.9629629629629629,1.0,0.0,0.27586206896551724,0.6666666666666666,0.0,0.06896551724137931,0.9090909090909091,0.0,0.09090909090909091,0.13793103448275862,0.3333333333333333,0.03333333333333333,2001-07-17 01:11:50,995332310,7,1
22,20,9,0,18,1,0,0.1111111111111111,1,0.7407407407407407,0.05,0.35,0.1,0.65,0.65,1.0,0.0,0.1,0.2857142857142857,0.15,0.05,0.9411764705882353,0.0,0.058823529411764705,0.25,0.7142857142857143,0.25925925925925924,2001-07-17 01:12:50,995332370,5,7
23,46,11,0,41,12,0,0.2608695652173913,4,0.92,0.06521739130434782,0.125,0.021739130434782608,0.6086956521739131,0.875,1.0,0.0,0.2391304347826087,0.5,0.13043478260869565,0.17391304347826086,0.92,0.0,0.08,0.2391304347826087,0.5,0.08,2001-07-17 01:13:50,995332430,3,4
24,36,10,0,35,1,2,0.027777777777777776,1,0.8571428571428571,0.05555555555555555,0.17142857142857143,0.027777777777777776,0.8055555555555556,0.8285714285714286,1.0,0.0,0.2222222222222222,0.42105263157894735,0.0,0.1111111111111111,0.7333333333333333,0.0,0.26666666666666666,0.3055555555555556,0.5789473684210527,0.14285714285714285,2001-07-17 01:14:50,995332490,4,6
25,23,6,0,22,1,0,0.043478260869565216,1,0.696969696969697,0.043478260869565216,0.45454545454545453,0.21739130434782608,0.5217391304347826,0.5454545454545454,1.0,0.0,0.17391304347826086,0.6666666666666666,0.13043478260869565,0.08695652173913043,0.7857142857142857,0.0,0.21428571428571427,0.08695652173913043,0.3333333333333333,0.30303030303030304,2001-07-17 01:15:50,995332550,4,10
26,14,6,0,14,4,0,0.2857142857142857,2,1.0,0.07142857142857142,0.0,0.35714285714285715,0.5714285714285714,1.0,1.0,0.0,0.2857142857142857,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,2001-07-17 01:16:50,995332610,5,0
27,13,7,0,12,1,4,0.07692307692307693,1,0.5909090909090909,0.0,0.45,0.0,0.8461538461538461,0.55,0.7272727272727273,0.2727272727272727,0.07692307692307693,0.2,0.15384615384615385,0.0,0.75,0.0,0.25,0.3076923076923077,0.8,0.4090909090909091,2001-07-17 01:17:50,995332670,3,9
28,31,7,0,19,9,0,0.2903225806451613,3,0.96875,0.0967741935483871,0.041666666666666664,0.12903225806451613,0.7419354838709677,0.9583333333333334,1.0,0.0,0.06451612903225806,0.5,0.03225806451612903,0.0,1.0,0.0,0.0,0.06451612903225806,0.5,0.03125,2001-07-17 01:18:50,995332730,7,1
29,21,14,0,19,10,2,0.4761904761904762,3,0.9130434782608695,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.9047619047619048,0.9047619047619048,1.0,0.0,0.47619047619047616,0.9090909090909091,0.0,0.0,0.7857142857142857,0.0,0.21428571428571427,0.047619047619047616,0.09090909090909091,0.08695652173913043,2001-07-17 01:19:50,995332790,3,2
30,32,8,0,25,5,0,0.15625,2,0.64,0.0,0.4,0.09375,0.84375,0.6,0.9629629629629629,0.037037037037037035,0.34375,0.6111111111111112,0.03125,0.03125,0.88,0.0,0.12,0.21875,0.3888888888888889,0.36,2001-07-17 01:20:50,995332850,3,18
31,27,6,0,22,3,0,0.1111111111111111,1,0.627906976744186,0.037037037037037035,0.47058823529411764,0.25925925925925924,0.6666666666666666,0.5294117647058824,1.0,0.0,0.14814814814814814,0.4,0.0,0.037037037037037035,0.9166666666666666,0.0,0.08333333333333333,0.2222222222222222,0.6,0.37209302325581395,2001-07-17 01:21:50,995332910,4,16
32,49,8,0,38,7,0,0.14285714285714285,2,0.9245283018867925,0.12244897959183673,0.10810810810810811,0.16326530612244897,0.673469387755102,0.8918918918918919,1.0,0.0,0.24489795918367346,0.48,0.02040816326530612,0.02040816326530612,0.76,0.0,0.24,0.2653061224489796,0.52,0.07547169811320754,2001-07-17 01:22:50,995332970,3,4
33,32,10,0,24,5,0,0.15625,2,0.7272727272727273,0.03125,0.4444444444444444,0.125,0.46875,0.5555555555555556,1.0,0.0,0.21875,0.5,0.1875,0.1875,0.6842105263157895,0.0,0.3157894736842105,0.21875,0.5,0.2727272727272727,2001-07-17 01:23:50,995333030,4,12
34,51,10,0,46,1,0,0.0196078431372549,1,0.8095238095238095,0.0196078431372549,0.2727272727272727,0.2549019607843137,0.6274509803921569,0.7272727272727273,0.96875,0.03125,0.23529411764705882,0.6,0.0,0.09803921568627451,0.8,0.0,0.2,0.1568627450980392,0.4,0.19047619047619047,2001-07-17 01:24:50,995333090,4,12
35,37,10,0,29,5,0,0.13513513513513514,2,0.74,0.05405405405405406,0.3611111111111111,0.2702702702702703,0.6216216216216216,0.6388888888888888,0.9565217391304348,0.043478260869565216,0.13513513513513514,0.7142857142857143,0.02702702702702703,0.02702702702702703,0.7894736842105263,0.0,0.21052631578947367,0.05405405405405406,0.2857142857142857,0.26,2001-07-17 01:25:50,995333150,5,13
36,30,13,0,27,4,0,0.13333333333333333,2,0.8823529411764706,0.03333333333333333,0.2,0.23333333333333334,0.5333333333333333,0.8,1.0,0.0,0.2,0.35294117647058826,0.2,0.0,0.8666666666666667,0.0,0.13333333333333333,0.36666666666666664,0.6470588235294118,0.11764705882352941,2001-07-17 01:26:50,995333210,6,4
37,34,14,0,34,3,0,0.08823529411764706,2,0.8717948717948718,0.14705882352941177,0.1724137931034483,0.0,0.7058823529411765,0.8275862068965517,1.0,0.0,0.3235294117647059,0.4782608695652174,0.14705882352941177,0.0,0.8461538461538461,0.0,0.15384615384615385,0.35294117647058826,0.5217391304347826,0.1282051282051282,2001-07-17 01:27:50,995333270,3,5
38,33,8,0,28,4,0,0.12121212121212123,2,0.7333333333333333,0.0,0.375,0.3333333333333333,0.6060606060606061,0.625,1.0,0.0,0.12121212121212122,0.5,0.0,0.06060606060606061,1.0,0.0,0.0,0.12121212121212122,0.5,0.26666666666666666,2001-07-17 01:28:50,995333330,5,12
39,22,8,0,15,2,0,0.09090909090909093,1,0.4888888888888889,0.22727272727272727,0.7666666666666667,0.18181818181818182,0.3181818181818182,0.23333333333333334,0.8571428571428571,0.14285714285714285,0.09090909090909091,0.5,0.0,0.2727272727272727,0.9166666666666666,0.0,0.08333333333333333,0.09090909090909091,0.5,0.5111111111111111,2001-07-17 01:29:50,995333390,4,23
40,47,8,0,29,3,0,0.06382978723404255,2,0.8392857142857143,0.02127659574468085,0.16981132075471697,0.02127659574468085,0.9361702127659575,0.8301886792452831,1.0,0.0,0.3829787234042553,0.45,0.02127659574468085,0.0,0.9230769230769231,0.0,0.07692307692307693,0.46808510638297873,0.55,0.16071428571428573,2001-07-17 01:30:50,995333450,3,9
41,25,8,0,21,5,0,0.2,2,0.8064516129032258,0.2,0.2608695652173913,0.08,0.68,0.7391304347826086,0.9411764705882353,0.058823529411764705,0.28,0.5833333333333334,0.04,0.0,1.0,0.0,0.0,0.2,0.4166666666666667,0.1935483870967742,2001-07-17 01:31:50,995333510,6,6
42,74,12,0,63,7,0,0.0945945945945946,2,0.9487179487179487,0.17567567567567569,0.15384615384615385,0.25675675675675674,0.2972972972972973,0.8461538461538461,0.9545454545454546,0.045454545454545456,0.21621621621621623,0.8421052631578947,0.25675675675675674,0.013513513513513514,0.782608695652174,0.0,0.21739130434782608,0.04054054054054054,0.15789473684210525,0.05128205128205128,2001-07-17 01:32:50,995333570,5,4
43,61,11,0,40,4,0,0.06557377049180327,2,0.7011494252873564,0.32786885245901637,0.3880597014925373,0.0,0.6721311475409836,0.6119402985074627,1.0,0.0,0.29508196721311475,0.72,0.0,0.0,1.0,0.0,0.0,0.11475409836065574,0.28,0.2988505747126437,2001-07-17 01:33:50,995333630,4,26
44,36,9,0,33,3,0,0.08333333333333333,1,0.9230769230769231,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.16666666666666666,0.6666666666666666,1.0,0.0,0.1388888888888889,0.3125,0.3333333333333333,0.0,0.8125,0.0,0.1875,0.3055555555555556,0.6875,0.07692307692307693,2001-07-17 01:34:50,995333690,4,3
45,133,9,0,128,4,0,0.030075187969924814,1,0.8417721518987342,0.03007518796992481,0.17985611510791366,0.09774436090225563,0.8571428571428571,0.8201438848920863,0.9912280701754386,0.008771929824561403,0.8045112781954887,0.9385964912280702,0.015037593984962405,0.0,0.8275862068965517,0.0,0.1724137931034483,0.05263157894736842,0.06140350877192982,0.15822784810126583,2001-07-17 01:35:50,995333750,7,25
46,216,9,0,214,8,0,0.037037037037037035,2,0.8888888888888888,0.0,0.125,0.0,0.875,0.875,1.0,0.0,0.36574074074074076,0.38349514563106796,0.10648148148148148,0.018518518518518517,0.8125,0.0,0.1875,0.5879629629629629,0.616504854368932,0.1111111111111111,2001-07-17 01:36:50,995333810,3,27
47,84,14,0,82,3,0,0.03571428571428571,1,0.6268656716417911,0.0,0.819672131147541,0.7261904761904762,0.13095238095238096,0.18032786885245902,1.0,0.0,0.023809523809523808,0.3333333333333333,0.03571428571428571,0.10714285714285714,0.8,0.0,0.2,0.047619047619047616,0.6666666666666666,0.373134328358209,2001-07-17 01:37:50,995333870,4,50
48,11,7,0,11,5,0,0.4545454545454545,3,0.9166666666666666,0.0,0.1111111111111111,0.2727272727272727,0.7272727272727273,0.8888888888888888,1.0,0.0,0.6363636363636364,0.875,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.125,0.08333333333333333,2001-07-17 01:38:50,995333930,6,1
49,9,13,0,9,5,1,0.5555555555555556,2,0.8181818181818182,0.2222222222222222,0.25,0.1111111111111111,0.6666666666666666,0.75,0.8333333333333334,0.16666666666666666,0.1111111111111111,0.2,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.4444444444444444,0.8,0.18181818181818182,2001-07-17 01:39:50,995333990,7,2
50,20,13,0,19,4,0,0.2,2,0.9523809523809523,0.05,0.0625,0.05,0.75,0.9375,1.0,0.0,0.4,0.6153846153846154,0.15,0.0,0.8571428571428571,0.0,0.14285714285714285,0.25,0.38461538461538464,0.047619047619047616,2001-07-17 01:40:50,995334050,5,1
51,24,9,0,20,2,3,0.08333333333333333,1,1.0,0.125,0.0,0.041666666666666664,0.8333333333333334,1.0,1.0,0.0,0.2916666666666667,0.4117647058823529,0.0,0.0,1.0,0.0,0.0,0.4166666666666667,0.5882352941176471,0.0,2001-07-17 01:41:50,995334110,4,0
52,57,10,0,54,7,7,0.12280701754385966,1,0.9047619047619048,0.03508771929824561,0.10344827586206896,0.017543859649122806,0.9122807017543859,0.896551724137931,1.0,0.0,0.8245614035087719,0.9591836734693877,0.03508771929824561,0.0,0.9090909090909091,0.0,0.09090909090909091,0.03508771929824561,0.04081632653061224,0.09523809523809523,2001-07-17 01:42:50,995334170,9,6
53,87,9,0,85,9,7,0.10344827586206896,3,0.7699115044247787,0.022988505747126436,0.24761904761904763,0.04597701149425287,0.9080459770114943,0.7523809523809524,0.9620253164556962,0.0379746835443038,0.05747126436781609,0.11904761904761904,0.0,0.022988505747126436,0.7333333333333333,0.0,0.26666666666666666,0.42528735632183906,0.8809523809523809,0.23008849557522124,2001-07-17 01:43:50,995334230,4,26
