,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,253,20,0,206,0,7,0.0,0,0.8908450704225352,0.0,0.12156862745098039,0.0,0.8853754940711462,0.8784313725490196,0.9196428571428571,0.08035714285714286,0.4901185770750988,0.7251461988304093,0.007905138339920948,0.1067193675889328,0.8849557522123894,0.017699115044247787,0.09734513274336283,0.1857707509881423,0.27485380116959063,0.10915492957746478,2011-03-09 00:00:03,1299628803,5,31
1,355,14,0,219,0,4,0.0,0,0.962059620596206,0.0,0.039886039886039885,0.008450704225352112,0.9492957746478873,0.9601139601139601,0.973293768545994,0.026706231454005934,0.2591549295774648,0.46464646464646464,0.016901408450704224,0.02535211267605634,0.970873786407767,0.0,0.02912621359223301,0.29859154929577464,0.5353535353535354,0.037940379403794036,2011-03-09 00:05:03,1299629103,4,14
2,413,12,0,204,0,7,0.0,0,0.9365079365079365,0.0,0.06542056074766354,0.012106537530266344,0.9685230024213075,0.9345794392523364,0.9725,0.0275,0.23486682808716708,0.5187165775401069,0.009685230024213076,0.009685230024213076,0.9222222222222223,0.0,0.07777777777777778,0.2179176755447942,0.48128342245989303,0.06349206349206349,2011-03-09 00:10:03,1299629403,4,28
3,117,20,0,87,0,3,0.0,0,0.936,0.0,0.07272727272727272,0.02564102564102564,0.8717948717948718,0.9272727272727272,0.9705882352941176,0.029411764705882353,0.29914529914529914,0.3465346534653465,0.05982905982905983,0.042735042735042736,0.9508196721311475,0.0,0.04918032786885246,0.5641025641025641,0.6534653465346535,0.064,2011-03-09 00:15:03,1299629703,4,8
4,397,15,0,219,0,5,0.0,0,0.9407582938388626,0.0,0.06510416666666667,0.022670025188916875,0.9042821158690176,0.9348958333333334,0.9944289693593314,0.005571030640668524,0.3224181360201511,0.47761194029850745,0.0327455919395466,0.04030226700251889,0.8333333333333334,0.0,0.16666666666666666,0.3526448362720403,0.5223880597014925,0.05924170616113744,2011-03-09 00:20:03,1299630003,4,25
5,268,12,0,162,0,2,0.0,0,0.9146757679180887,0.0,0.09057971014492754,0.014925373134328358,0.9365671641791045,0.9094202898550725,0.9920318725099602,0.00796812749003984,0.332089552238806,0.6267605633802817,0.029850746268656716,0.018656716417910446,0.796875,0.0,0.203125,0.19776119402985073,0.3732394366197183,0.08532423208191127,2011-03-09 00:25:03,1299630303,5,25
6,194,12,0,167,0,2,0.0,0,0.9282296650717703,0.0,0.08241758241758242,0.010309278350515464,0.8608247422680413,0.9175824175824175,0.9880239520958084,0.011976047904191617,0.4020618556701031,0.5954198473282443,0.09278350515463918,0.03608247422680412,0.7719298245614035,0.0,0.22807017543859648,0.27319587628865977,0.40458015267175573,0.07177033492822966,2011-03-09 00:30:03,1299630603,5,15
7,358,12,0,218,0,1,0.0,0,0.9675675675675676,0.0,0.03389830508474576,0.019553072625698324,0.9553072625698324,0.9661016949152542,1.0,0.0,0.17039106145251395,0.39869281045751637,0.013966480446927373,0.0111731843575419,0.9066666666666666,0.02666666666666667,0.06666666666666667,0.2569832402234637,0.6013071895424836,0.032432432432432434,2011-03-09 00:35:03,1299630903,4,12
8,157,11,0,129,0,4,0.0,0,0.8219895287958116,0.0,0.19318181818181818,0.03821656050955414,0.9044585987261147,0.8068181818181818,0.9647887323943662,0.035211267605633804,0.19745222929936307,0.5535714285714286,0.044585987261146494,0.012738853503184714,0.9295774647887324,0.0,0.07042253521126761,0.1592356687898089,0.44642857142857145,0.17801047120418848,2011-03-09 00:40:03,1299631203,4,34
9,175,15,0,125,0,1,0.0,0,0.9510869565217391,0.0,0.05142857142857143,0.011428571428571429,0.9485714285714286,0.9485714285714286,0.9939759036144579,0.006024096385542169,0.3142857142857143,0.5339805825242718,0.03428571428571429,0.005714285714285714,0.8913043478260869,0.0,0.10869565217391304,0.2742857142857143,0.46601941747572817,0.04891304347826087,2011-03-09 00:45:03,1299631503,4,9
10,66,7,0,36,0,3,0.0,0,0.88,0.0,0.13043478260869565,0.030303030303030304,0.9090909090909091,0.8695652173913043,0.95,0.05,0.42424242424242425,0.4745762711864407,0.06060606060606061,0.0,0.90625,0.0,0.09375,0.4696969696969697,0.5254237288135594,0.12,2011-03-09 00:50:03,1299631803,4,9
11,244,15,0,131,0,0,0.0,0,0.8970588235294118,0.0,0.10852713178294573,0.004098360655737705,0.9426229508196722,0.8914728682170543,0.9478260869565217,0.05217391304347826,0.23770491803278687,0.48333333333333334,0.045081967213114756,0.00819672131147541,0.8913043478260869,0.0,0.10869565217391304,0.2540983606557377,0.5166666666666667,0.10294117647058823,2011-03-09 00:55:03,1299632103,2,28
