,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,2326,19,0,248,105,2,0.07912584777694047,5,0.9691666666666666,0.854256233877902,0.20273972602739726,0.007738607050730868,0.12510748065348237,0.7972602739726027,0.6907216494845361,0.30927835051546393,0.0468615649183147,0.7841726618705036,0.0017196904557179708,0.01117798796216681,0.9329073482428115,0.0,0.0670926517571885,0.012897678417884782,0.2158273381294964,0.030833333333333334,2005-05-23 00:00:09,1116806409,4,74
1,2080,18,0,234,117,2,0.05625,6,0.9629629629629629,0.9076923076923077,0.3463203463203463,0.013942307692307693,0.07259615384615385,0.6536796536796536,0.7814569536423841,0.2185430463576159,0.025,0.5909090909090909,0.004326923076923077,0.0014423076923076924,0.9355932203389831,0.0,0.06440677966101695,0.01730769230769231,0.4090909090909091,0.037037037037037035,2005-05-23 00:05:09,1116806709,3,80
2,1972,19,0,241,83,6,0.04208924949290061,4,0.946257197696737,0.8924949290060852,0.4014336917562724,0.008113590263691683,0.08468559837728194,0.5985663082437276,0.7425149700598802,0.25748502994011974,0.03904665314401623,0.652542372881356,0.014198782961460446,0.0005070993914807302,0.9377431906614786,0.0,0.0622568093385214,0.02079107505070994,0.3474576271186441,0.053742802303262956,2005-05-23 00:10:09,1116807009,5,112
3,1940,18,0,243,40,0,0.020618556701030927,3,0.9556650246305419,0.9010309278350516,0.3829787234042553,0.012371134020618556,0.07474226804123711,0.6170212765957447,0.6758620689655173,0.32413793103448274,0.01443298969072165,0.4444444444444444,0.01134020618556701,0.0005154639175257732,0.935251798561151,0.0,0.06474820143884892,0.01804123711340206,0.5555555555555556,0.04433497536945813,2005-05-23 00:15:09,1116807309,3,90
4,2268,19,0,246,29,5,0.01278659611992945,3,0.950544844928751,0.908289241622575,0.41403508771929826,0.011904761904761904,0.0736331569664903,0.5859649122807018,0.7784431137724551,0.2215568862275449,0.025573192239858905,0.6590909090909091,0.005731922398589065,0.0004409171075837742,0.9328859060402684,0.0,0.06711409395973154,0.013227513227513227,0.3409090909090909,0.04945515507124895,2005-05-23 00:20:09,1116807609,4,118
5,2206,19,0,231,62,8,0.028105167724388036,4,0.962478184991274,0.9057116953762466,0.37554585152838427,0.01314596554850408,0.06482320942883046,0.6244541484716157,0.6083916083916084,0.3916083916083916,0.009972801450589302,0.3188405797101449,0.014052583862194016,0.0022665457842248413,0.9254237288135593,0.0,0.07457627118644068,0.02130553037171351,0.6811594202898551,0.037521815008726006,2005-05-23 00:25:09,1116807909,4,86
6,2240,19,0,228,60,16,0.026785714285714284,3,0.9605488850771869,0.9169642857142857,0.4200913242009132,0.013392857142857142,0.05669642857142857,0.5799086757990868,0.6850393700787402,0.31496062992125984,0.007589285714285714,0.2537313432835821,0.005803571428571429,0.007142857142857143,0.9102990033222591,0.0,0.08970099667774087,0.022321428571428572,0.746268656716418,0.03945111492281304,2005-05-23 00:30:09,1116808209,4,92
7,2218,19,0,213,49,5,0.022091974752028856,4,0.9762323943661971,0.9179440937781785,0.27692307692307694,0.014878268710550046,0.06357078449053201,0.7230769230769231,0.7163120567375887,0.28368794326241137,0.0175834084761046,0.5131578947368421,0.0031559963931469793,0.0004508566275924256,0.9348534201954397,0.0,0.06514657980456026,0.016681695220919748,0.4868421052631579,0.023767605633802816,2005-05-23 00:35:09,1116808509,3,54
8,2574,19,0,220,40,1,0.01554001554001554,3,0.982442748091603,0.9176379176379177,0.19658119658119658,0.006604506604506605,0.07303807303807304,0.8034188034188035,0.7180851063829787,0.28191489361702127,0.015151515151515152,0.5342465753424658,0.0019425019425019425,0.000777000777000777,0.9343283582089552,0.0,0.06567164179104477,0.01320901320901321,0.4657534246575342,0.017557251908396947,2005-05-23 00:40:09,1116808809,4,46
9,2010,19,0,235,85,2,0.04228855721393035,4,0.9598853868194842,0.909452736318408,0.375,0.013930348258706468,0.06965174129353234,0.625,0.7857142857142857,0.21428571428571427,0.017412935323383085,0.546875,0.005970149253731343,0.0009950248756218905,0.9328621908127208,0.0,0.06713780918727916,0.014427860696517412,0.453125,0.04011461318051576,2005-05-23 00:45:09,1116809109,3,84
