,announcements,as_path_max,class,nlri_ann,number_rare_ases,origin_changes,rare_ases_avg,rare_ases_max,ratio_ann,ratio_dups,ratio_exp_wd,ratio_flaps,ratio_imp_wd,ratio_imp_wd2,ratio_imp_wd_dpath,ratio_imp_wd_spath,ratio_longer,ratio_longer2,ratio_nadas,ratio_news,ratio_origin0,ratio_origin1,ratio_origin2,ratio_shorter,ratio_shorter2,ratio_wd,timestamp,timestamp2,unique_as_path_avg,withdrawals
0,94,14,0,68,0,0,0.0,0,0.7966101694915254,0.2127659574468085,0.27586206896551724,0.0425531914893617,0.6702127659574468,0.7241379310344828,0.9206349206349206,0.07936507936507936,0.4787234042553192,0.75,0.02127659574468085,0.05319148936170213,0.7872340425531915,0.0,0.2127659574468085,0.1595744680851064,0.25,0.2033898305084746,2001-09-16 00:13:19,1000599199,8,24
1,214,12,0,72,0,0,0.0,0,0.6167146974063401,0.14953271028037382,0.4586206896551724,0.018691588785046728,0.7336448598130841,0.5413793103448276,0.9490445859872612,0.050955414012738856,0.27102803738317754,0.42028985507246375,0.06542056074766354,0.03271028037383177,0.509090909090909,0.0,0.4909090909090909,0.37383177570093457,0.5797101449275363,0.38328530259365995,2001-09-16 00:18:19,1000599499,6,133
2,252,14,0,172,0,0,0.0,0,0.9618320610687023,0.05555555555555555,0.07407407407407407,0.43253968253968256,0.49603174603174605,0.9259259259259259,0.88,0.12,0.25,0.5779816513761468,0.007936507936507936,0.007936507936507936,0.8181818181818182,0.0,0.18181818181818182,0.18253968253968253,0.42201834862385323,0.03816793893129771,2001-09-16 00:23:19,1000599799,6,10
3,45,13,0,19,0,0,0.0,0,0.8333333333333334,0.17777777777777778,0.225,0.044444444444444446,0.6888888888888889,0.775,0.967741935483871,0.03225806451612903,0.2222222222222222,0.47619047619047616,0.06666666666666667,0.022222222222222223,0.8947368421052632,0.0,0.10526315789473684,0.24444444444444444,0.5238095238095238,0.16666666666666666,2001-09-16 00:28:19,1000600099,5,9
4,154,11,0,137,0,0,0.0,0,0.5811320754716981,0.7207792207792207,0.7655172413793103,0.05194805194805195,0.22077922077922077,0.23448275862068965,0.8235294117647058,0.17647058823529413,0.11038961038961038,0.6296296296296297,0.0,0.006493506493506494,0.9705882352941176,0.0,0.029411764705882353,0.06493506493506493,0.37037037037037035,0.4188679245283019,2001-09-16 00:33:19,1000600399,4,111
5,64,14,0,28,0,0,0.0,0,0.8533333333333334,0.09375,0.1774193548387097,0.046875,0.796875,0.8225806451612904,0.7843137254901961,0.21568627450980393,0.328125,0.5384615384615384,0.046875,0.015625,0.9,0.0,0.1,0.28125,0.46153846153846156,0.14666666666666667,2001-09-16 00:38:19,1000600699,3,11
6,159,17,0,150,0,0,0.0,0,0.9298245614035088,0.018867924528301886,0.36363636363636365,0.6792452830188679,0.1320754716981132,0.6363636363636364,0.9047619047619048,0.09523809523809523,0.05660377358490566,0.5,0.012578616352201259,0.15723270440251572,0.92,0.0,0.08,0.05660377358490566,0.5,0.07017543859649122,2001-09-16 00:43:19,1000600999,4,12
7,37,10,0,23,1,0,0.05,1,0.8222222222222222,0.2972972972972973,0.36363636363636365,0.1891891891891892,0.3783783783783784,0.6363636363636364,0.8571428571428571,0.14285714285714285,0.13513513513513514,0.3333333333333333,0.13513513513513514,0.0,0.9,0.0,0.1,0.2702702702702703,0.6666666666666666,0.17777777777777778,2001-09-16 00:48:19,1000601299,6,8
8,26,16,0,13,2,0,0.07692307692307693,1,0.7878787878787878,0.15384615384615385,0.28,0.07692307692307693,0.6923076923076923,0.72,1.0,0.0,0.34615384615384615,0.5625,0.07692307692307693,0.0,0.8947368421052632,0.0,0.10526315789473684,0.2692307692307692,0.4375,0.21212121212121213,2001-09-16 00:53:19,1000601599,4,7
9,38,7,0,29,7,0,0.18421052631578946,3,0.7450980392156863,0.02631578947368421,0.41935483870967744,0.34210526315789475,0.47368421052631576,0.5806451612903226,0.6111111111111112,0.3888888888888889,0.02631578947368421,0.07692307692307693,0.10526315789473684,0.05263157894736842,0.85,0.0,0.15,0.3157894736842105,0.9230769230769231,0.2549019607843137,2001-09-16 00:58:19,1000601899,6,13
10,47,14,0,28,4,0,0.0851063829787234,2,0.7121212121212122,0.0851063829787234,0.3220338983050847,0.02127659574468085,0.851063829787234,0.6779661016949152,0.925,0.075,0.2765957446808511,0.48148148148148145,0.0425531914893617,0.0,0.8518518518518519,0.0,0.14814814814814814,0.2978723404255319,0.5185185185185185,0.2878787878787879,2001-09-16 01:03:19,1000602199,5,19
11,35,12,0,18,15,1,0.42857142857142855,4,0.6363636363636364,0.08571428571428572,0.45454545454545453,0.08571428571428572,0.6857142857142857,0.5454545454545454,0.7916666666666666,0.20833333333333334,0.2857142857142857,0.625,0.05714285714285714,0.05714285714285714,0.9,0.0,0.1,0.17142857142857143,0.375,0.36363636363636365,2001-09-16 01:08:19,1000602499,6,20
12,35,12,0,22,9,0,0.2571428571428571,3,0.8536585365853658,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.8285714285714286,0.8285714285714286,1.0,0.0,0.2857142857142857,0.4,0.05714285714285714,0.0,0.8333333333333334,0.0,0.16666666666666666,0.42857142857142855,0.6,0.14634146341463414,2001-09-16 01:13:19,1000602799,4,6
13,58,11,0,26,1,0,0.017241379310344827,1,0.8405797101449275,0.034482758620689655,0.16923076923076924,0.034482758620689655,0.9310344827586207,0.8307692307692308,0.8703703703703703,0.12962962962962962,0.3275862068965517,0.5428571428571428,0.0,0.0,0.6129032258064516,0.0,0.3870967741935484,0.27586206896551724,0.45714285714285713,0.15942028985507245,2001-09-16 01:18:19,1000603099,7,11
14,25,11,0,20,5,0,0.2,2,0.8333333333333334,0.08,0.29411764705882354,0.28,0.48,0.7058823529411765,1.0,0.0,0.24,0.42857142857142855,0.08,0.08,0.6470588235294118,0.0,0.35294117647058826,0.32,0.5714285714285714,0.16666666666666666,2001-09-16 01:23:19,1000603399,5,5
15,16,10,0,12,0,0,0.0,0,0.9411764705882353,0.0625,0.1111111111111111,0.25,0.5,0.8888888888888888,0.875,0.125,0.25,0.8,0.125,0.0625,0.9166666666666666,0.0,0.08333333333333333,0.0625,0.2,0.058823529411764705,2001-09-16 01:28:19,1000603699,5,1
16,66,10,0,24,8,1,0.11940298507462685,3,0.9166666666666666,0.09090909090909091,0.09523809523809523,0.0,0.8636363636363636,0.9047619047619048,0.6842105263157895,0.3157894736842105,0.3181818181818182,0.5675675675675675,0.030303030303030304,0.0,0.8125,0.0,0.1875,0.24242424242424243,0.43243243243243246,0.08333333333333333,2001-09-16 01:33:19,1000603999,5,6
17,66,10,0,38,0,1,0.0,0,0.8354430379746836,0.0,0.19696969696969696,0.06060606060606061,0.803030303030303,0.803030303030303,0.8113207547169812,0.18867924528301888,0.3939393939393939,0.5416666666666666,0.13636363636363635,0.0,0.7777777777777778,0.0,0.2222222222222222,0.3333333333333333,0.4583333333333333,0.16455696202531644,2001-09-16 01:38:19,1000604299,5,13
18,18,6,0,16,4,0,0.2222222222222222,2,0.8571428571428571,0.05555555555555555,0.21428571428571427,0.16666666666666666,0.6111111111111112,0.7857142857142857,1.0,0.0,0.05555555555555555,0.09090909090909091,0.05555555555555555,0.1111111111111111,0.6363636363636364,0.0,0.36363636363636365,0.5555555555555556,0.9090909090909091,0.14285714285714285,2001-09-16 01:43:19,1000604599,2,3
19,29,9,0,15,7,0,0.2413793103448276,2,0.8529411764705882,0.06896551724137931,0.18518518518518517,0.06896551724137931,0.7586206896551724,0.8148148148148148,1.0,0.0,0.2413793103448276,0.4375,0.10344827586206896,0.0,0.96,0.0,0.04,0.3103448275862069,0.5625,0.14705882352941177,2001-09-16 01:48:19,1000604899,4,5
20,98,12,0,46,14,2,0.14285714285714285,2,0.7716535433070866,0.1836734693877551,0.3333333333333333,0.05102040816326531,0.5918367346938775,0.6666666666666666,0.8793103448275862,0.1206896551724138,0.2755102040816326,0.5625,0.15306122448979592,0.02040816326530612,0.847457627118644,0.0,0.15254237288135594,0.21428571428571427,0.4375,0.2283464566929134,2001-09-16 01:53:19,1000605199,5,29
21,117,17,0,51,11,3,0.09401709401709403,2,0.7959183673469388,0.21367521367521367,0.2912621359223301,0.07692307692307693,0.6239316239316239,0.7087378640776699,0.9726027397260274,0.0273972602739726,0.3418803418803419,0.6153846153846154,0.08547008547008547,0.0,0.8703703703703703,0.0,0.12962962962962962,0.21367521367521367,0.38461538461538464,0.20408163265306123,2001-09-16 01:58:19,1000605499,4,30
22,153,16,0,54,14,3,0.0915032679738562,3,0.85,0.1437908496732026,0.21951219512195122,0.0392156862745098,0.6274509803921569,0.7804878048780488,0.8333333333333334,0.16666666666666666,0.30718954248366015,0.5053763440860215,0.17647058823529413,0.006535947712418301,0.8309859154929577,0.0,0.16901408450704225,0.3006535947712418,0.4946236559139785,0.15,2001-09-16 02:03:19,1000605799,5,27
23,67,13,0,40,11,3,0.16417910447761194,2,0.7613636363636364,0.11940298507462686,0.3684210526315789,0.1044776119402985,0.5373134328358209,0.631578947368421,0.7777777777777778,0.2222222222222222,0.16417910447761194,0.36666666666666664,0.19402985074626866,0.029850746268656716,0.7959183673469388,0.0,0.20408163265306123,0.2835820895522388,0.6333333333333333,0.23863636363636365,2001-09-16 02:08:19,1000606099,5,21
24,93,13,0,44,11,2,0.11827956989247312,3,0.8773584905660378,0.10752688172043011,0.15294117647058825,0.03225806451612903,0.7741935483870968,0.8470588235294118,0.8611111111111112,0.1388888888888889,0.4838709677419355,0.9,0.043010752688172046,0.010752688172043012,0.7272727272727273,0.0,0.2727272727272727,0.053763440860215055,0.1,0.12264150943396226,2001-09-16 02:13:19,1000606399,6,13
25,73,11,0,41,6,0,0.0821917808219178,3,0.8588235294117647,0.2602739726027397,0.22641509433962265,0.0410958904109589,0.5616438356164384,0.7735849056603774,0.9024390243902439,0.0975609756097561,0.1232876712328767,0.23684210526315788,0.1232876712328767,0.0136986301369863,0.896551724137931,0.0,0.10344827586206896,0.3972602739726027,0.7631578947368421,0.1411764705882353,2001-09-16 02:18:19,1000606699,7,12
26,120,15,0,67,16,1,0.13333333333333333,2,0.7947019867549668,0.06666666666666667,0.23134328358208955,0.0,0.8583333333333333,0.7686567164179104,0.9514563106796117,0.04854368932038835,0.38333333333333336,0.5609756097560976,0.03333333333333333,0.041666666666666664,1.0,0.0,0.0,0.3,0.43902439024390244,0.2052980132450331,2001-09-16 02:23:19,1000606999,7,31
27,82,10,0,41,3,2,0.03658536585365853,1,0.8367346938775511,0.10975609756097561,0.20253164556962025,0.036585365853658534,0.7682926829268293,0.7974683544303798,0.8888888888888888,0.1111111111111111,0.36585365853658536,0.5357142857142857,0.024390243902439025,0.0,0.8378378378378378,0.0,0.16216216216216217,0.3170731707317073,0.4642857142857143,0.16326530612244897,2001-09-16 02:28:19,1000607299,5,16
28,111,10,0,61,3,0,0.027027027027027032,1,0.8740157480314961,0.07207207207207207,0.1509433962264151,0.09009009009009009,0.8108108108108109,0.8490566037735849,1.0,0.0,0.36036036036036034,0.4878048780487805,0.02702702702702703,0.0,0.6842105263157895,0.0,0.3157894736842105,0.3783783783783784,0.5121951219512195,0.12598425196850394,2001-09-16 02:33:19,1000607599,5,16
29,58,11,0,35,2,1,0.03448275862068965,1,0.90625,0.3448275862068966,0.15789473684210525,0.034482758620689655,0.5517241379310345,0.8421052631578947,0.96875,0.03125,0.20689655172413793,0.3870967741935484,0.034482758620689655,0.034482758620689655,0.9565217391304348,0.0,0.043478260869565216,0.3275862068965517,0.6129032258064516,0.09375,2001-09-16 02:38:19,1000607899,5,6
30,28,7,0,15,0,2,0.0,0,0.8235294117647058,0.07142857142857142,0.21428571428571427,0.03571428571428571,0.7857142857142857,0.7857142857142857,0.9090909090909091,0.09090909090909091,0.35714285714285715,0.45454545454545453,0.10714285714285714,0.0,0.5,0.0,0.5,0.42857142857142855,0.5454545454545454,0.17647058823529413,2001-09-16 02:43:19,1000608199,5,6
31,54,12,0,20,1,0,0.018518518518518517,1,0.9473684210526315,0.09259259259259259,0.06,0.018518518518518517,0.8703703703703703,0.94,0.5531914893617021,0.44680851063829785,0.24074074074074073,0.52,0.018518518518518517,0.0,0.6428571428571429,0.0,0.35714285714285715,0.2222222222222222,0.48,0.05263157894736842,2001-09-16 02:48:19,1000608499,5,3
32,94,9,0,46,9,0,0.09574468085106384,4,0.9038461538461539,0.031914893617021274,0.11363636363636363,0.06382978723404255,0.8297872340425532,0.8863636363636364,0.8076923076923077,0.19230769230769232,0.2553191489361702,0.42105263157894735,0.0425531914893617,0.031914893617021274,0.7674418604651163,0.0,0.23255813953488372,0.35106382978723405,0.5789473684210527,0.09615384615384616,2001-09-16 02:53:19,1000608799,7,10
33,214,17,0,107,8,0,0.037383177570093455,2,0.963963963963964,0.004672897196261682,0.03755868544600939,0.0,0.9579439252336449,0.9624413145539906,0.9951219512195122,0.004878048780487805,0.37850467289719625,0.6428571428571429,0.014018691588785047,0.014018691588785047,0.98,0.0,0.02,0.2102803738317757,0.35714285714285715,0.036036036036036036,2001-09-16 02:58:19,1000609099,7,8
34,268,19,0,113,6,0,0.022388059701492536,1,0.8673139158576052,0.033582089552238806,0.1474820143884892,0.014925373134328358,0.8843283582089553,0.8525179856115108,0.9451476793248945,0.05485232067510549,0.30970149253731344,0.503030303030303,0.06716417910447761,0.0,0.9333333333333333,0.0,0.06666666666666667,0.30597014925373134,0.49696969696969695,0.13268608414239483,2001-09-16 03:03:19,1000609399,6,41
35,48,9,0,19,5,0,0.10416666666666667,3,0.7868852459016393,0.1875,0.325,0.14583333333333334,0.5625,0.675,0.9259259259259259,0.07407407407407407,0.20833333333333334,0.43478260869565216,0.08333333333333333,0.020833333333333332,0.9259259259259259,0.0,0.07407407407407407,0.2708333333333333,0.5652173913043478,0.21311475409836064,2001-09-16 03:08:19,1000609699,2,13
36,298,17,0,105,4,0,0.013422818791946308,2,0.9254658385093167,0.1476510067114094,0.09125475285171103,0.010067114093959731,0.802013422818792,0.908745247148289,0.9874476987447699,0.012552301255230125,0.25838926174496646,0.5310344827586206,0.030201342281879196,0.010067114093959731,0.881578947368421,0.0,0.11842105263157894,0.22818791946308725,0.4689655172413793,0.07453416149068323,2001-09-16 03:13:19,1000609999,6,24
37,18,10,0,12,2,0,0.1111111111111111,2,0.4864864864864865,0.1111111111111111,0.7307692307692307,0.2222222222222222,0.3888888888888889,0.2692307692307692,0.8571428571428571,0.14285714285714285,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.05555555555555555,0.5555555555555556,0.0,0.4444444444444444,0.2777777777777778,0.5555555555555556,0.5135135135135135,2001-09-16 03:18:19,1000610299,4,19
38,51,10,0,28,5,0,0.09803921568627452,2,0.8793103448275862,0.058823529411764705,0.15555555555555556,0.058823529411764705,0.7450980392156863,0.8444444444444444,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.0196078431372549,0.6428571428571429,0.0,0.35714285714285715,0.21568627450980393,0.6470588235294118,0.1206896551724138,2001-09-16 03:23:19,1000610599,7,7
39,60,14,0,27,3,1,0.05,2,0.8695652173913043,0.13333333333333333,0.1956521739130435,0.05,0.6166666666666667,0.8043478260869565,0.5675675675675675,0.43243243243243246,0.2,0.4444444444444444,0.18333333333333332,0.016666666666666666,0.7317073170731707,0.0,0.2682926829268293,0.25,0.5555555555555556,0.13043478260869565,2001-09-16 03:28:19,1000610899,4,9
40,57,14,0,21,4,0,0.07017543859649122,3,0.8142857142857143,0.08771929824561403,0.22033898305084745,0.03508771929824561,0.8070175438596491,0.7796610169491526,1.0,0.0,0.43859649122807015,0.625,0.07017543859649122,0.0,0.75,0.0,0.25,0.2631578947368421,0.375,0.18571428571428572,2001-09-16 03:33:19,1000611199,6,13
