,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,49,82,716,11,14,0,25,1.3223443223443223,83,65,0,93,23,5,3,1,0,0,0,6,83,65,0,93,23,5,3,1,0,0,0,11,225,179,46,12,407,247,0,220,0,40,3,0.0,0,2001-07-17 00:09:52,995328592,4,10,14,95
1,107,102,693,5,15,0,30,1.7428571428571429,127,87,0,66,53,35,5,1,1,0,0,12,127,87,0,66,53,35,5,1,1,0,0,23,280,210,70,52,297,285,37,278,0,59,11,0.09024390243902439,5,2001-07-17 00:14:52,995328892,5,11,14,148
2,732,1024,2991,6,14,0,383,1.499586435070306,607,603,0,813,248,109,16,21,0,0,0,11,607,603,0,813,248,109,16,21,0,0,0,195,1518,1494,24,322,341,344,61,349,0,101,11,0.02039451688398529,4,2001-07-17 00:19:52,995329192,6,9,30,611
3,71,114,742,3,20,0,37,1.4975490196078431,152,80,0,92,47,18,9,5,0,1,0,14,152,80,0,92,47,18,9,5,0,1,0,64,272,234,38,35,285,222,57,319,0,30,1,0.07681940700808626,3,2001-07-17 00:24:52,995329492,3,10,24,216
4,97,155,1125,2,15,0,44,1.614963503649635,180,133,12,115,75,18,4,5,1,0,4,12,180,133,12,115,75,18,4,5,1,0,4,56,415,337,78,33,505,400,87,329,0,63,13,0.07733333333333334,3,2001-07-17 00:29:52,995329792,2,10,41,231
5,230,213,1066,7,13,0,84,1.5213333333333334,244,200,10,189,49,24,15,8,1,0,10,10,244,200,10,189,49,24,15,8,1,0,10,92,488,455,33,86,250,395,52,296,0,72,9,0.04878048780487805,3,2001-07-17 00:34:52,995330092,7,9,42,245
6,184,213,736,6,21,0,32,2.0610328638497655,149,174,0,124,109,30,9,5,1,0,26,11,149,174,0,124,109,30,9,5,1,0,26,85,393,372,21,129,80,164,32,264,0,42,15,0.043478260869565216,2,2001-07-17 00:39:52,995330392,6,10,13,179
7,1065,481,1914,5,13,0,97,1.7594866071428572,194,591,0,627,248,109,15,3,5,0,0,7,194,591,0,627,248,109,15,3,5,0,0,73,1385,1364,21,237,92,359,43,322,0,89,10,0.02246603970741902,4,2001-07-17 00:44:52,995330692,5,10,16,561
8,224,232,892,3,16,0,71,1.6852861035422344,161,239,0,196,52,36,18,13,14,5,0,8,161,239,0,196,52,36,18,13,14,5,0,68,522,502,20,73,106,319,77,390,0,45,3,0.08632286995515695,4,2001-07-17 00:49:52,995330992,3,15,8,170
9,91,87,491,5,15,0,60,1.8765060240963856,120,52,0,67,38,10,22,6,3,10,4,9,120,52,0,67,38,10,22,6,3,10,4,46,190,178,12,36,155,163,60,211,0,56,11,0.12219959266802444,4,2001-07-17 00:54:52,995331292,5,11,8,101
