,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,1153,15,27,352,342,372,0,2001-09-21 00:10:22,1001031022,17,300
1,1862,15,40,845,540,577,0,2001-09-21 00:15:22,1001031322,115,422
2,1120,15,104,603,339,365,0,2001-09-21 00:20:22,1001031622,8,133
3,1516,15,74,760,550,387,0,2001-09-21 00:25:22,1001031922,15,342
4,861,19,41,407,282,361,0,2001-09-21 00:30:22,1001032222,14,98
5,2346,15,54,432,1213,743,0,2001-09-21 00:35:22,1001032522,37,1071
6,597,13,28,259,322,308,0,2001-09-21 00:40:22,1001032822,7,258
7,2764,15,45,1819,1176,948,0,2001-09-21 00:45:22,1001033122,19,174
8,1853,13,36,1093,893,651,0,2001-09-21 00:50:22,1001033422,13,127
9,872,17,35,438,183,375,0,2001-09-21 00:55:22,1001033722,27,208
10,855,14,47,459,292,410,0,2001-09-21 01:00:22,1001034022,27,163
11,4373,15,36,669,3732,1160,1,2001-09-21 01:05:22,1001034322,21,120
12,1032,19,84,652,245,387,0,2001-09-21 01:10:22,1001034622,188,316
13,1079,19,108,629,519,459,0,2001-09-21 01:15:22,1001034922,21,143
14,1785,19,69,996,527,666,0,2001-09-21 01:20:22,1001035222,93,322
15,1655,16,108,1022,395,598,0,2001-09-21 01:25:22,1001035522,35,304
16,927,19,83,546,253,420,0,2001-09-21 01:30:22,1001035822,22,180
17,1279,18,120,792,593,422,0,2001-09-21 01:35:22,1001036122,11,122
18,1544,19,63,853,356,474,0,2001-09-21 01:40:22,1001036422,67,430
19,948,12,60,501,390,442,0,2001-09-21 01:45:22,1001036722,16,373
20,1210,12,88,597,355,465,0,2001-09-21 01:50:22,1001037022,23,137
21,1162,11,60,686,264,404,0,2001-09-21 01:55:22,1001037322,43,219
22,637,12,26,343,179,274,0,2001-09-21 02:00:22,1001037622,15,104
23,1309,11,28,807,272,328,0,2001-09-21 02:05:22,1001037922,65,341
24,1045,15,71,680,228,436,0,2001-09-21 02:10:22,1001038222,30,255
25,1136,18,22,674,285,483,0,2001-09-21 02:15:22,1001038522,19,174
26,1363,13,39,651,710,439,2,2001-09-21 02:20:22,1001038822,12,186
27,1152,15,39,764,545,438,3,2001-09-21 02:25:22,1001039122,14,109
28,1058,11,62,751,476,364,1,2001-09-21 02:30:22,1001039422,66,166
29,959,19,57,510,257,267,0,2001-09-21 02:35:22,1001039722,12,186
30,1995,18,49,1420,326,440,0,2001-09-21 02:40:22,1001040022,111,697
31,2352,18,324,1194,424,472,0,2001-09-21 02:45:22,1001040322,121,584
32,1304,12,60,852,241,429,0,2001-09-21 02:50:22,1001040622,60,281
33,1556,21,157,798,318,375,0,2001-09-21 02:55:22,1001040922,19,258
34,1481,14,85,704,496,432,0,2001-09-21 03:00:22,1001041222,20,403
35,4576,14,33,4050,3736,1083,1,2001-09-21 03:05:22,1001041522,8,380
36,1490,13,60,868,458,480,0,2001-09-21 03:10:22,1001041822,23,180
37,627,12,54,369,224,300,0,2001-09-21 03:15:22,1001042122,24,235
38,1403,14,53,799,335,321,0,2001-09-21 03:20:22,1001042422,18,545
39,1543,15,58,966,379,420,0,2001-09-21 03:25:22,1001042722,24,212
40,1003,16,65,710,270,351,4,2001-09-21 03:30:22,1001043022,14,162
