,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,140,119,1306,6,19,0,41,2.2837606837606836,79,135,2,190,119,21,6,3,7,6,4,17,79,135,2,190,119,21,6,3,7,6,4,23,467,461,6,54,608,424,34,495,0,67,28,0.10967741935483871,3,2001-07-20 00:06:27,995587587,6,12,11,225
1,328,249,1780,7,15,0,127,2.012621359223301,210,212,0,198,333,29,13,9,7,13,0,16,210,212,0,198,333,29,13,9,7,13,0,53,784,755,29,66,689,550,108,467,0,86,28,0.06060606060606061,4,2001-07-20 00:11:27,995587887,6,12,18,249
2,219,509,1857,6,13,0,78,2.220748829953198,173,303,0,294,305,39,137,25,2,2,1,11,173,303,0,294,305,39,137,25,2,2,1,70,972,949,23,162,416,685,114,502,0,59,34,0.061389337641357025,4,2001-07-20 00:16:27,995588187,5,9,16,290
3,102,162,1149,5,15,0,86,1.4829821717990275,198,179,0,106,78,18,24,4,8,0,2,9,198,179,0,106,78,18,24,4,8,0,2,85,350,326,24,96,480,498,54,372,0,47,36,0.04699738903394256,4,2001-07-20 00:21:27,995588487,5,9,8,227
4,160,126,1021,5,13,0,23,1.554559043348281,95,322,1,157,42,35,2,1,6,2,6,10,95,322,1,157,42,35,2,1,6,2,6,56,500,486,14,90,340,483,122,354,0,53,7,0.11949069539666993,4,2001-07-20 00:26:27,995588787,5,8,7,240
5,278,209,1176,3,13,0,23,1.5052742616033756,144,379,0,302,83,21,11,2,5,0,1,9,144,379,0,302,83,21,11,2,5,0,1,86,754,722,32,85,203,454,69,401,0,67,13,0.058673469387755105,2,2001-07-20 00:31:27,995589087,3,8,25,280
6,107,130,738,4,13,0,20,1.4552380952380952,158,148,1,134,52,17,2,8,1,1,0,15,158,148,1,134,52,17,2,8,1,1,0,80,394,338,56,31,190,353,58,281,3,53,13,0.07837837837837838,4,2001-07-20 00:36:27,995589387,4,8,10,158
7,394,178,1638,4,13,0,76,1.7778904665314401,147,229,0,393,155,50,4,5,2,0,1,9,147,229,0,393,155,50,4,5,2,0,1,46,814,792,22,50,555,623,56,334,0,39,12,0.03418803418803419,3,2001-07-20 00:41:27,995589687,4,9,5,203
8,207,187,993,5,17,0,77,1.435251798561151,268,188,1,229,98,31,9,4,1,3,1,14,268,188,1,229,98,31,9,4,1,3,1,170,519,503,16,68,102,409,70,292,0,23,10,0.07049345417925479,4,2001-07-20 00:46:27,995589987,4,13,0,181
9,209,182,991,3,16,0,55,1.7956204379562044,167,163,1,183,84,30,37,9,9,1,1,10,167,163,1,183,84,30,37,9,9,1,1,76,510,483,27,44,296,407,116,434,1,41,28,0.11693548387096774,4,2001-07-20 00:51:27,995590287,3,11,8,207
