,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,716,14,25,225.0,247,220,0,2001-07-17 00:09:52,995328592,14,95
1,693,15,30,280.0,285,278,0,2001-07-17 00:14:52,995328892,14,148
2,2991,14,383,1518.0,344,349,0,2001-07-17 00:19:52,995329192,30,611
3,742,20,37,272.0,222,319,0,2001-07-17 00:24:52,995329492,24,216
4,1125,15,44,415.0,400,329,0,2001-07-17 00:29:52,995329792,41,231
5,1066,13,84,488.0,395,296,0,2001-07-17 00:34:52,995330092,42,245
6,736,21,32,393.0,164,264,0,2001-07-17 00:39:52,995330392,13,179
7,1914,13,97,1385.0,359,322,0,2001-07-17 00:44:52,995330692,16,561
8,892,16,71,522.0,319,390,0,2001-07-17 00:49:52,995330992,8,170
9,491,15,60,190.0,163,211,0,2001-07-17 00:54:52,995331292,8,101
10,926,14,31,391.0,224,323,0,2001-07-17 00:59:52,995331592,18,363
11,708,16,14,303.0,296,227,0,2001-07-17 01:04:52,995331892,4,89
12,706,11,31,419.0,358,266,0,2001-07-17 01:09:52,995332192,8,153
13,1219,15,11,353.0,828,333,0,2001-07-17 01:14:52,995332492,6,100
14,1437,14,47,962.0,817,476,0,2001-07-17 01:19:52,995332792,16,190
15,970,13,77,457.0,234,331,0,2001-07-17 01:24:52,995333092,36,217
16,748,14,16,394.0,193,284,0,2001-07-17 01:29:52,995333392,13,198
17,1709,13,18,1077.0,587,363,2,2001-07-17 01:34:52,995333692,8,208
18,1103,15,142,523.0,273,413,0,2001-07-17 01:39:52,995333992,13,213
19,1263,13,50,786.0,339,419,0,2001-07-17 01:44:52,995334292,83,281
20,1186,13,50,590.0,428,270,0,2001-07-17 01:49:52,995334592,59,318
21,417,16,25,190.0,155,199,0,2001-07-17 01:54:52,995334892,7,181
22,346,15,13,200.0,117,197,0,2001-07-17 01:59:52,995335192,19,119
23,467,17,15,185.0,156,234,0,2001-07-17 02:04:52,995335492,10,98
24,620,15,42,360.0,207,232,0,2001-07-17 02:09:52,995335792,8,114
25,548,15,55,274.0,167,200,0,2001-07-17 02:14:52,995336092,7,201
26,1378,14,47,789.0,324,277,0,2001-07-17 02:19:52,995336392,3,289
27,407,15,22,221.0,145,210,0,2001-07-17 02:24:52,995336692,2,80
28,727,16,28,420.0,215,273,0,2001-07-17 02:29:52,995336992,7,197
29,1176,16,51,757.0,301,396,0,2001-07-17 02:34:52,995337292,31,281
30,1490,16,155,771.0,366,402,0,2001-07-17 02:39:52,995337592,32,229
31,982,13,67,527.0,230,313,0,2001-07-17 02:44:52,995337892,31,284
32,2232,13,170,1240.0,361,475,0,2001-07-17 02:49:52,995338192,56,531
33,2831,17,150,2235.0,934,867,0,2001-07-17 02:54:52,995338492,141,532
34,1745,15,133,1180.0,443,282,0,2001-07-17 02:59:52,995338792,41,388
35,2876,20,42,1990.0,453,340,0,2001-07-17 03:04:52,995339092,11,538
36,1555,22,50,416.0,1013,369,0,2001-07-17 03:09:52,995339392,52,980
37,579,16,52,356.0,170,227,0,2001-07-17 03:14:52,995339692,8,101
38,681,15,75,350.0,229,259,0,2001-07-17 03:19:52,995339992,11,136
39,882,18,53,456.0,354,349,0,2001-07-17 03:24:52,995340292,12,157
40,758,21,29,469.0,232,261,0,2001-07-17 03:29:52,995340592,63,246
41,646,18,11,403.0,194,225,0,2001-07-17 03:34:52,995340892,64,216
42,866,14,66,333.0,395,243,0,2001-07-17 03:39:52,995341192,31,221
43,1632,15,113,1355.0,900,498,0,2001-07-17 03:44:52,995341492,19,130
44,1279,16,61,903.0,648,377,0,2001-07-17 03:49:52,995341792,15,181
45,553,17,15,280.0,174,296,0,2001-07-17 03:54:52,995342092,38,209
46,882,14,62,475.0,198,344,0,2001-07-17 03:59:52,995342392,21,212
47,1631,13,101,925.0,413,424,0,2001-07-17 04:04:52,995342692,8,324
48,1548,14,38,1015.0,307,341,0,2001-07-17 04:09:52,995342992,25,344
49,1192,14,32,611.0,277,382,0,2001-07-17 04:14:52,995343292,21,255
50,924,15,107,516.0,249,345,0,2001-07-17 04:19:52,995343592,18,195
51,1997,14,93,847.0,625,521,0,2001-07-17 04:24:52,995343892,167,643
52,772,16,9,394.0,254,372,0,2001-07-17 04:29:52,995344192,13,170
53,698,15,33,349.0,230,297,0,2001-07-17 04:34:52,995344492,8,197
54,439,14,8,255.0,137,224,0,2001-07-17 04:39:52,995344792,12,142
55,854,15,36,380.0,293,325,0,2001-07-17 04:44:52,995345092,34,211
56,2263,15,100,1389.0,594,423,0,2001-07-17 04:49:52,995345392,30,266
57,1764,14,40,1250.0,278,279,0,2001-07-17 04:54:52,995345692,5,417
58,1326,14,45,673.0,351,484,0,2001-07-17 04:59:52,995345992,53,379
59,2313,16,105,1354.0,547,630,0,2001-07-17 05:04:52,995346292,31,414
