,announcements,as_path_max,class,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,467,13,0,22,92,186,212,0,2001-07-17 00:05:52,995328352,11,164
1,445,14,0,35,166,124,217,0,2001-07-17 00:10:52,995328652,3,104
2,733,14,0,49,263,301,262,0,2001-07-17 00:15:52,995328952,1,142
3,2745,13,0,56,1930,331,318,0,2001-07-17 00:20:52,995329252,7,168
4,803,18,0,80,348,229,308,0,2001-07-17 00:25:52,995329552,5,162
5,998,16,0,107,369,319,230,0,2001-07-17 00:30:52,995329852,6,208
6,922,15,0,128,478,317,279,0,2001-07-17 00:35:52,995330152,17,220
7,803,15,0,129,443,231,247,0,2001-07-17 00:40:52,995330452,2,116
8,1732,14,0,69,1422,310,292,0,2001-07-17 00:45:52,995330752,41,213
9,892,17,0,48,517,398,288,0,2001-07-17 00:50:52,995331052,4,153
10,662,14,0,47,349,190,302,0,2001-07-17 00:55:52,995331352,5,144
11,1191,14,0,89,687,315,427,0,2001-07-17 01:00:52,995331652,4,271
12,701,14,0,45,299,274,246,0,2001-07-17 01:05:52,995331952,6,180
13,1154,13,0,39,697,364,301,0,2001-07-17 01:10:52,995332252,2,194
14,446,14,0,54,226,118,219,0,2001-07-17 01:15:52,995332552,1,116
15,657,14,0,40,349,251,249,0,2001-07-17 01:20:52,995332852,1,123
16,733,14,0,46,427,230,269,0,2001-07-17 01:25:52,995333152,14,153
17,826,13,0,73,508,230,257,0,2001-07-17 01:30:52,995333452,4,152
18,1126,14,0,146,608,401,215,0,2001-07-17 01:35:52,995333752,1,149
19,941,16,0,53,554,209,382,0,2001-07-17 01:40:52,995334052,0,130
20,1124,14,0,147,563,311,369,0,2001-07-17 01:45:52,995334352,23,146
21,1713,17,0,188,977,554,384,0,2001-07-17 01:50:52,995334652,1,158
22,628,16,0,69,380,191,264,0,2001-07-17 01:55:52,995334952,0,184
23,316,15,0,34,172,117,167,0,2001-07-17 02:00:52,995335252,0,40
24,470,17,0,33,270,172,227,0,2001-07-17 02:05:52,995335552,3,104
25,491,15,0,26,340,185,200,0,2001-07-17 02:10:52,995335852,0,107
26,622,15,0,81,359,160,203,0,2001-07-17 02:15:52,995336152,1,105
27,1131,14,0,19,781,289,225,0,2001-07-17 02:20:52,995336452,1,167
28,347,15,0,37,188,135,221,0,2001-07-17 02:25:52,995336752,0,79
29,1026,14,0,46,435,413,296,0,2001-07-17 02:30:52,995337052,2,194
30,1088,15,0,56,799,358,368,0,2001-07-17 02:35:52,995337352,7,128
31,1874,17,0,130,1246,583,486,0,2001-07-17 02:40:52,995337652,8,144
32,864,14,0,71,515,237,323,0,2001-07-17 02:45:52,995337952,9,211
33,1328,15,0,164,668,328,372,0,2001-07-17 02:50:52,995338252,0,226
34,1098,13,0,34,908,280,366,0,2001-07-17 02:55:52,995338552,10,248
35,1022,14,0,64,553,268,336,0,2001-07-17 03:00:52,995338852,0,186
36,2965,15,0,252,2487,445,289,0,2001-07-17 03:05:52,995339152,1,122
37,6190,22,0,65,3042,3054,1237,0,2001-07-17 03:10:52,995339452,29,275
38,470,16,0,35,284,132,221,0,2001-07-17 03:15:52,995339752,3,71
39,498,15,0,49,299,179,203,0,2001-07-17 03:20:52,995340052,26,129
40,814,12,0,49,545,187,301,0,2001-07-17 03:25:52,995340352,11,83
41,725,20,0,26,500,249,280,0,2001-07-17 03:30:52,995340652,11,140
42,634,14,0,79,348,273,203,0,2001-07-17 03:35:52,995340952,1,64
43,867,11,0,28,502,397,311,0,2001-07-17 03:40:52,995341252,0,105
44,547,14,0,26,365,191,220,0,2001-07-17 03:45:52,995341552,2,94
45,669,15,0,17,381,174,278,0,2001-07-17 03:50:52,995341852,1,141
46,513,16,0,51,260,187,232,0,2001-07-17 03:55:52,995342152,2,114
47,559,15,0,39,337,221,301,0,2001-07-17 04:00:52,995342452,5,110
48,1472,13,0,99,896,367,413,0,2001-07-17 04:05:52,995342752,2,199
49,1570,14,0,136,1125,295,289,0,2001-07-17 04:10:52,995343052,5,143
50,929,14,0,66,541,253,289,0,2001-07-17 04:15:52,995343352,3,137
51,1065,14,0,103,547,296,361,0,2001-07-17 04:20:52,995343652,7,219
52,2026,16,0,52,998,856,494,0,2001-07-17 04:25:52,995343952,22,304
53,802,16,0,39,491,291,352,0,2001-07-17 04:30:52,995344252,10,163
54,792,18,0,47,448,288,349,0,2001-07-17 04:35:52,995344552,23,201
55,515,13,0,29,342,183,209,0,2001-07-17 04:40:52,995344852,5,101
56,914,14,0,62,665,291,366,0,2001-07-17 04:45:52,995345152,4,116
57,2076,15,0,323,1007,583,325,0,2001-07-17 04:50:52,995345452,23,156
58,1771,19,0,93,1414,310,255,0,2001-07-17 04:55:52,995345752,1,296
59,1236,15,0,64,767,396,395,0,2001-07-17 05:00:52,995346052,1,249
60,2506,15,0,211,1593,479,605,0,2001-07-17 05:05:52,995346352,103,422
61,1351,17,0,166,814,489,509,0,2001-07-17 05:10:52,995346652,22,286
62,1077,17,0,72,805,302,281,0,2001-07-17 05:15:52,995346952,2,243
63,722,14,0,66,382,193,267,0,2001-07-17 05:20:52,995347252,1,126
64,1852,14,0,146,1282,349,422,0,2001-07-17 05:25:52,995347552,5,165
65,1545,15,0,93,1200,284,435,0,2001-07-17 05:30:52,995347852,0,195
66,2062,13,0,37,1633,341,347,0,2001-07-17 05:35:52,995348152,1,373
67,1934,16,0,118,1544,354,281,0,2001-07-17 05:40:52,995348452,0,419
68,1989,17,0,131,1190,396,456,0,2001-07-17 05:45:52,995348752,0,338
69,1916,15,0,215,1209,390,396,0,2001-07-17 05:50:52,995349052,2,525
70,2675,15,0,468,1430,572,566,0,2001-07-17 05:55:52,995349352,34,781
71,3612,14,0,738,1832,520,458,0,2001-07-17 06:00:52,995349652,8,968
72,1803,12,0,316,819,493,451,0,2001-07-17 06:05:52,995349952,16,516
73,1624,13,0,370,764,382,368,0,2001-07-17 06:10:52,995350252,3,291
74,1578,14,0,356,591,409,379,0,2001-07-17 06:15:52,995350552,10,390
75,1788,14,0,107,845,593,399,0,2001-07-17 06:20:52,995350852,3,506
76,2327,15,0,609,1320,733,399,0,2001-07-17 06:25:52,995351152,5,624
77,1324,14,0,39,498,462,357,0,2001-07-17 06:30:52,995351452,9,161
78,1170,15,0,126,558,360,336,0,2001-07-17 06:35:52,995351752,0,248
79,1113,16,0,54,719,471,321,0,2001-07-17 06:40:52,995352052,5,213
80,980,18,0,75,557,235,279,0,2001-07-17 06:45:52,995352352,6,182
81,2046,16,0,44,1672,312,498,0,2001-07-17 06:50:52,995352652,6,279
82,1676,17,0,90,1254,409,436,0,2001-07-17 06:55:52,995352952,3,251
83,1213,13,0,292,417,462,352,0,2001-07-17 07:00:52,995353252,3,243
84,2036,17,0,117,1487,464,535,0,2001-07-17 07:05:52,995353552,3,292
85,2244,21,0,97,1656,574,553,0,2001-07-17 07:10:52,995353852,49,597
86,2112,16,0,99,1087,750,559,0,2001-07-17 07:15:52,995354152,10,400
87,1168,16,0,91,743,448,366,0,2001-07-17 07:20:52,995354452,5,250
88,2374,16,0,326,1452,438,475,0,2001-07-17 07:25:52,995354752,1,411
89,1254,16,0,110,654,379,369,0,2001-07-17 07:30:52,995355052,1,383
90,851,14,0,44,547,261,336,0,2001-07-17 07:35:52,995355352,34,228
91,1154,15,0,55,615,364,298,0,2001-07-17 07:40:52,995355652,24,399
92,1095,15,0,97,673,256,251,0,2001-07-17 07:45:52,995355952,2,166
93,1026,15,0,92,668,332,371,0,2001-07-17 07:50:52,995356252,2,150
94,3856,14,0,124,2972,700,580,0,2001-07-17 07:55:52,995356552,3,608
95,1518,14,0,32,804,485,528,0,2001-07-17 08:00:52,995356852,1,332
96,1050,14,0,52,672,338,413,0,2001-07-17 08:05:52,995357152,16,218
97,1210,15,0,69,810,451,420,0,2001-07-17 08:10:52,995357452,1,157
98,1492,14,0,172,923,409,428,0,2001-07-17 08:15:52,995357752,10,239
99,4799,16,0,272,1729,2862,1202,9,2001-07-17 08:20:52,995358052,5,867
100,23897,15,0,317,13925,12898,6023,13,2001-07-17 08:25:52,995358352,15,863
101,1236,14,0,34,965,353,349,5,2001-07-17 08:30:52,995358652,4,194
102,4803,12,0,268,3837,1046,624,0,2001-07-17 08:35:52,995358952,2,118
103,3204,15,0,453,2328,847,556,0,2001-07-17 08:40:52,995359252,0,839
104,1049,16,0,60,587,409,393,0,2001-07-17 08:45:52,995359552,3,124
105,2922,14,0,117,2001,1042,445,3,2001-07-17 08:50:52,995359852,3,122
106,1136,13,0,97,777,398,406,0,2001-07-17 08:55:52,995360152,13,190
107,1740,22,0,81,1011,480,596,0,2001-07-17 09:00:52,995360452,16,341
108,995,12,0,115,635,293,366,0,2001-07-17 09:05:52,995360752,1,132
109,3321,22,0,529,2371,1117,497,3,2001-07-17 09:10:52,995361052,1,772
110,2036,15,0,160,1207,777,564,0,2001-07-17 09:15:52,995361352,28,281
111,2580,13,0,100,1706,1017,499,0,2001-07-17 09:20:52,995361652,10,153
112,2798,16,0,96,1748,869,772,0,2001-07-17 09:25:52,995361952,10,807
113,2767,16,0,319,1525,705,965,0,2001-07-17 09:30:52,995362252,18,733
114,1825,17,0,119,1377,592,559,0,2001-07-17 09:35:52,995362552,53,632
115,2912,14,0,103,1729,777,680,0,2001-07-17 09:40:52,995362852,11,470
116,1023,14,0,44,511,320,314,0,2001-07-17 09:45:52,995363152,1,226
117,2986,17,0,160,1913,713,867,0,2001-07-17 09:50:52,995363452,4,646
118,1126,17,0,60,707,449,452,0,2001-07-17 09:55:52,995363752,15,561
119,1540,14,0,99,764,580,460,0,2001-07-17 10:00:52,995364052,0,335
120,1690,16,0,96,1326,542,589,0,2001-07-17 10:05:52,995364352,10,195
121,16215,17,0,67,8748,8050,4917,6,2001-07-17 10:10:52,995364652,2,431
122,3428,22,0,219,2426,1518,858,0,2001-07-17 10:15:52,995364952,3,135
123,893,15,0,97,593,297,285,0,2001-07-17 10:20:52,995365252,4,154
124,3403,12,0,265,2926,491,513,0,2001-07-17 10:25:52,995365552,5,246
125,3013,17,0,350,1745,639,554,0,2001-07-17 10:30:52,995365852,14,906
126,1435,15,0,158,718,481,472,0,2001-07-17 10:35:52,995366152,18,248
127,1262,16,0,141,856,310,402,0,2001-07-17 10:40:52,995366452,33,181
128,1864,13,0,39,1569,356,500,0,2001-07-17 10:45:52,995366752,4,155
129,2823,14,0,128,2272,894,540,0,2001-07-17 10:50:52,995367052,3,235
130,4456,15,0,473,3103,867,596,0,2001-07-17 10:55:52,995367352,3,556
131,989,14,0,39,774,267,424,0,2001-07-17 11:00:52,995367652,2,92
132,1266,15,0,192,771,332,367,0,2001-07-17 11:05:52,995367952,7,209
133,715,13,0,49,444,259,331,0,2001-07-17 11:10:52,995368252,0,128
134,708,17,0,64,357,343,262,0,2001-07-17 11:15:52,995368552,1,122
135,1051,13,0,39,730,304,449,0,2001-07-17 11:20:52,995368852,1,194
136,1587,12,0,126,1156,623,311,0,2001-07-17 11:25:52,995369152,3,196
137,925,13,0,52,645,357,296,0,2001-07-17 11:30:52,995369452,3,143
138,497,13,0,53,343,192,235,0,2001-07-17 11:35:52,995369752,0,76
139,1592,14,0,117,1232,309,401,0,2001-07-17 11:40:52,995370052,1,169
140,577,12,0,33,430,198,295,0,2001-07-17 11:45:52,995370352,12,78
141,681,16,0,48,457,206,273,6,2001-07-17 11:50:52,995370652,16,191
142,849,14,0,74,486,238,285,0,2001-07-17 11:55:52,995370952,5,188
143,499,16,0,28,357,143,312,16,2001-07-17 12:00:52,995371252,3,114
144,863,13,0,26,432,383,343,3,2001-07-17 12:05:52,995371552,3,83
145,784,13,0,77,444,222,250,0,2001-07-17 12:10:52,995371852,44,248
146,1661,14,0,56,1072,520,368,1,2001-07-17 12:15:52,995372152,1,480
147,1241,14,0,46,879,286,294,0,2001-07-17 12:20:52,995372452,1,236
148,1508,15,0,89,1179,302,332,0,2001-07-17 12:25:52,995372752,5,177
149,955,18,0,65,557,247,313,0,2001-07-17 12:30:52,995373052,1,167
150,2230,15,0,66,1173,529,361,2,2001-07-17 12:35:52,995373352,10,428
151,639,15,0,80,360,200,229,0,2001-07-17 12:40:52,995373652,4,137
152,634,13,0,28,440,230,237,0,2001-07-17 12:45:52,995373952,3,167
153,1192,12,0,49,758,306,275,1,2001-07-17 12:50:52,995374252,6,332
154,796,14,0,37,593,270,276,1,2001-07-17 12:55:52,995374552,4,110
155,1007,14,0,84,740,382,379,0,2001-07-17 13:00:52,995374852,14,141
156,995,13,0,122,682,259,240,0,2001-07-17 13:05:52,995375152,4,88
157,693,14,0,34,421,235,284,2,2001-07-17 13:10:52,995375452,14,182
158,2403,13,0,169,1842,423,471,0,2001-07-17 13:15:52,995375752,32,543
159,1759,16,0,138,1097,664,645,0,2001-07-17 13:20:52,995376052,2,181
160,1955,16,0,244,1398,415,534,0,2001-07-17 13:25:52,995376352,12,205
161,826,13,0,101,506,236,327,0,2001-07-17 13:30:52,995376652,1,204
162,1771,12,0,184,1327,403,506,0,2001-07-17 13:35:52,995376952,8,186
163,671,12,0,62,389,256,238,0,2001-07-17 13:40:52,995377252,14,148
164,1267,14,0,112,834,321,427,0,2001-07-17 13:45:52,995377552,9,336
165,1192,12,0,103,761,467,382,0,2001-07-17 13:50:52,995377852,1,291
166,3385,13,0,176,2829,524,552,1,2001-07-17 13:55:52,995378152,8,242
167,2813,20,0,306,1851,484,576,0,2001-07-17 14:00:52,995378452,12,730
168,1666,15,0,145,1174,359,409,0,2001-07-17 14:05:52,995378752,8,161
169,935,14,0,199,505,245,282,0,2001-07-17 14:10:52,995379052,112,318
170,2457,14,0,204,1692,492,465,0,2001-07-17 14:15:52,995379352,8,344
171,996,12,0,235,513,278,270,0,2001-07-17 14:20:52,995379652,2,237
172,1163,12,0,180,645,267,259,0,2001-07-17 14:25:52,995379952,6,273
173,2531,13,0,514,1409,368,487,10,2001-07-17 14:30:52,995380252,2,531
174,958,12,0,61,696,332,264,0,2001-07-17 14:35:52,995380552,2,171
175,1427,14,0,69,1129,350,356,0,2001-07-17 14:40:52,995380852,2,128
176,1060,14,0,65,840,325,396,0,2001-07-17 14:45:52,995381152,0,144
177,862,12,0,85,560,360,288,0,2001-07-17 14:50:52,995381452,55,212
178,1058,12,0,13,600,294,253,0,2001-07-17 14:55:52,995381752,0,383
179,984,14,0,24,640,321,333,0,2001-07-17 15:00:52,995382052,0,235
180,1027,11,0,62,753,261,273,0,2001-07-17 15:05:52,995382352,0,84
181,953,18,0,76,590,281,294,0,2001-07-17 15:10:52,995382652,8,130
182,1088,12,0,45,769,324,335,1,2001-07-17 15:15:52,995382952,9,188
183,911,16,0,42,739,349,266,0,2001-07-17 15:20:52,995383252,5,196
184,845,16,0,42,471,372,277,0,2001-07-17 15:25:52,995383552,2,139
185,593,15,0,48,327,219,248,1,2001-07-17 15:30:52,995383852,22,160
186,1521,15,0,201,861,504,449,0,2001-07-17 15:35:52,995384152,0,130
187,1198,14,0,137,736,332,377,0,2001-07-17 15:40:52,995384452,2,258
188,701,16,0,38,384,304,291,0,2001-07-17 15:45:52,995384752,2,209
189,903,12,0,29,531,362,285,0,2001-07-17 15:50:52,995385052,87,207
190,799,14,0,58,442,296,202,0,2001-07-17 15:55:52,995385352,5,257
191,593,13,0,41,314,265,251,0,2001-07-17 16:00:52,995385652,3,142
192,1141,14,0,199,561,394,320,0,2001-07-17 16:05:52,995385952,18,247
193,653,15,0,25,419,201,252,0,2001-07-17 16:10:52,995386252,2,201
194,611,14,0,30,388,201,258,0,2001-07-17 16:15:52,995386552,1,131
195,1408,13,0,65,386,992,354,0,2001-07-17 16:20:52,995386852,23,245
196,893,13,0,19,574,349,345,0,2001-07-17 16:25:52,995387152,1,91
197,468,14,0,17,324,213,219,0,2001-07-17 16:30:52,995387452,3,65
198,518,14,0,29,338,251,263,0,2001-07-17 16:35:52,995387752,2,148
199,722,16,0,37,483,249,259,0,2001-07-17 16:40:52,995388052,4,187
200,716,13,0,74,485,202,335,0,2001-07-17 16:45:52,995388352,3,117
201,1448,13,0,126,882,314,432,0,2001-07-17 16:50:52,995388652,0,294
202,1889,14,0,149,1193,513,506,3,2001-07-17 16:55:52,995388952,5,327
203,1081,15,0,69,700,236,403,0,2001-07-17 17:00:52,995389252,22,291
204,1079,14,0,115,756,266,337,0,2001-07-17 17:05:52,995389552,4,169
205,772,14,0,81,395,209,352,0,2001-07-17 17:10:52,995389852,0,215
206,777,14,0,54,455,258,335,0,2001-07-17 17:15:52,995390152,2,220
207,1307,14,0,74,986,354,414,0,2001-07-17 17:20:52,995390452,8,294
