dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
"[0.0, 0.0, 0.0, 0.004672897196261682, 0.21651090342679127, 0.5654205607476636, 0.7289719626168224, 0.7959501557632399, 0.8286604361370716, 0.8613707165109035]","[0.0, 0.0, 0.0, 0.009302325581395347, 0.35368956743002544, 0.7076023391812866, 0.806896551724138, 0.8222043443282381, 0.8197226502311249, 0.8272251308900523]","[0.0, 0.0, 0.0, 1.0, 0.9652777777777778, 0.9453125, 0.9034749034749034, 0.8502495840266223, 0.8109756097560976, 0.7956834532374101]",0.9780701754385965,0.3149717514124294,0.47649572649572614
"[0.8863636363636364, 0.8863636363636364, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636, 0.8636363636363636]","[0.7358490566037735, 0.7647058823529411, 0.7524752475247524, 0.7755102040816326, 0.8, 0.8, 0.8085106382978724, 0.8172043010752688, 0.8172043010752688, 0.8172043010752688]","[0.6290322580645161, 0.6724137931034483, 0.6666666666666666, 0.7037037037037037, 0.7450980392156863, 0.7450980392156863, 0.76, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326]",0.9649122807017544,0.1553672316384181,0.26763990267639876
"[0.9375975039001561, 0.9391575663026521, 0.9422776911076443, 0.9422776911076443, 0.9407176287051482, 0.9360374414976599, 0.9329173166926678, 0.9329173166926678, 0.9329173166926678, 0.9329173166926678]","[0.8567355666429081, 0.872463768115942, 0.8791848617176129, 0.8830409356725145, 0.8900369003690036, 0.890207715133531, 0.8912071535022354, 0.8932038834951457, 0.8965517241379312, 0.8965517241379312]","[0.7887139107611548, 0.8146143437077131, 0.8240109140518418, 0.8308115543328748, 0.8445378151260504, 0.8486562942008486, 0.8530670470756063, 0.8567335243553008, 0.862914862914863, 0.862914862914863]",0.9867256637168141,0.3149717514124294,0.477516059957173
"[0.8307692307692308, 0.8538461538461538, 0.8538461538461538, 0.8846153846153846, 0.8846153846153846, 0.8923076923076924, 0.8923076923076924, 0.8923076923076924, 0.8923076923076924, 0.8923076923076924]","[0.7422680412371134, 0.7551020408163266, 0.7602739726027398, 0.7903780068728522, 0.7958477508650518, 0.808362369337979, 0.808362369337979, 0.8140350877192983, 0.8140350877192983, 0.8111888111888114]","[0.6708074534161491, 0.676829268292683, 0.6851851851851852, 0.7142857142857143, 0.7232704402515723, 0.7388535031847133, 0.7388535031847133, 0.7483870967741936, 0.7483870967741936, 0.7435897435897436]",0.9633507853403142,0.2598870056497175,0.40934371523915425
"[0.9515418502202643, 0.986784140969163, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754, 0.9911894273127754]","[0.9391304347826086, 0.9313929313929314, 0.9259259259259259, 0.9240246406570843, 0.9336099585062242, 0.9374999999999999, 0.9374999999999999, 0.9374999999999999, 0.9374999999999999, 0.9374999999999999]","[0.927038626609442, 0.8818897637795275, 0.8687258687258688, 0.8653846153846154, 0.8823529411764706, 0.8893280632411067, 0.8893280632411067, 0.8893280632411067, 0.8893280632411067, 0.8893280632411067]",0.9766081871345029,0.4717514124293785,0.6361904761904758
"[0.9691629955947136, 0.9779735682819384, 0.9779735682819384, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9911894273127754, 0.9823788546255506, 0.9911894273127754]","[0.9341825902335457, 0.9367088607594938, 0.9386892177589853, 0.9409282700421941, 0.9409282700421941, 0.9449152542372881, 0.9449152542372881, 0.9513742071881607, 0.952991452991453, 0.9574468085106383]","[0.9016393442622951, 0.8987854251012146, 0.9024390243902439, 0.902834008097166, 0.902834008097166, 0.9102040816326531, 0.9102040816326531, 0.9146341463414634, 0.9253112033195021, 0.9259259259259259]",0.9879154078549849,0.461864406779661,0.6294513955726655
"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8285714285714286]","[0.42424242424242414, 0.5090909090909091, 0.5185185185185185, 0.5544554455445544, 0.5833333333333334, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6292134831460674, 0.651685393258427]","[0.28865979381443296, 0.37333333333333335, 0.3835616438356164, 0.42424242424242425, 0.45901639344262296, 0.49122807017543857, 0.49122807017543857, 0.49122807017543857, 0.5185185185185185, 0.5370370370370371]",0.9642857142857143,0.038135593220338986,0.07336956521739123
"[0.7984496124031008, 0.8449612403100775, 0.8527131782945736, 0.8527131782945736, 0.8682170542635659, 0.8682170542635659, 0.8682170542635659, 0.8682170542635659, 0.8682170542635659, 0.8682170542635659]","[0.8046875, 0.7956204379562043, 0.7829181494661922, 0.7829181494661922, 0.7859649122807019, 0.7859649122807019, 0.7887323943661972, 0.7915194346289752, 0.7943262411347518, 0.797153024911032]","[0.8110236220472441, 0.7517241379310344, 0.7236842105263158, 0.7236842105263158, 0.717948717948718, 0.717948717948718, 0.7225806451612903, 0.7272727272727273, 0.7320261437908496, 0.7368421052631579]",0.9382022471910112,0.23587570621468926,0.37697516930022534
"[0.8947368421052632, 0.8947368421052632, 0.9210526315789473, 0.9473684210526315, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737]","[0.9066666666666667, 0.9006622516556291, 0.9032258064516129, 0.9, 0.906832298136646, 0.906832298136646, 0.9012345679012346, 0.9012345679012346, 0.9012345679012346, 0.9012345679012346]","[0.918918918918919, 0.9066666666666666, 0.8860759493670886, 0.8571428571428571, 0.8588235294117647, 0.8588235294117647, 0.8488372093023255, 0.8488372093023255, 0.8488372093023255, 0.8488372093023255]",0.9528619528619529,0.3997175141242938,0.5631840796019896
"[0.982316534040672, 0.986737400530504, 0.9796640141467727, 0.9858532272325375, 0.9787798408488063, 0.9858532272325375, 0.9770114942528736, 0.9885057471264368, 0.9619805481874447, 0.9946949602122016]","[0.9010543390105434, 0.9223140495867769, 0.9466040153780436, 0.9425190194420963, 0.9580268282128948, 0.9517712334613743, 0.9633827375762859, 0.9543320529236022, 0.9653948535936112, 0.9445843828715365]","[0.8322097378277153, 0.8657874321179209, 0.915702479338843, 0.902834008097166, 0.938135593220339, 0.91996699669967, 0.9501289767841788, 0.9224422442244224, 0.968833481745325, 0.8992805755395683]",0.9866071428571429,0.6242937853107344,0.7647058823529408
