dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.0],[0.0],[0.0],0.0,0.0,0.0
[0.3094606542882405],[0.46760187040748163],[0.9562841530054644],0.8333333333333334,0.0211864406779661,0.04132231404958672
[0.34210526315789475],[0.5098039215686275],[1.0],0.857142857142857,0.01694915254237288,0.03324099722991686
[0.3788546255506608],[0.5391849529780565],[0.9347826086956522],0.8571428571428571,0.03389830508474576,0.06521739130434775
[0.41409691629955947],[0.5856697819314641],[1.0],0.8888888888888888,0.04519774011299435,0.08602150537634398
[0.06432748538011696],[0.12087912087912087],[1.0],0.0,0.0,0.0
[0.4907161803713528],[0.6382978723404256],[0.912828947368421],0.952,0.16807909604519775,0.2857142857142855
[0.6052631578947368],[0.736],[0.9387755102040817],0.96,0.13559322033898305,0.23762376237623736
[0.7906976744186046],[0.8395061728395061],[0.8947368421052632],0.9545454545454546,0.11864406779661017,0.21105527638190935
[0.8],[0.7777777777777778],[0.7567567567567568],0.8947368421052632,0.0480225988700565,0.09115281501340472
[0.7307692307692307],[0.8333333333333333],[0.9693877551020408],0.8857142857142857,0.043785310734463276,0.08344549125168228
[0.6410256410256411],[0.742447516641065],[0.8819951338199513],0.9537366548042705,0.3785310734463277,0.541961577350859
[0.9318181818181818],[0.8723404255319149],[0.82],0.9714285714285714,0.288135593220339,0.4444444444444441
[0.7984496124031008],[0.824],[0.8512396694214877],0.9754601226993865,0.2245762711864407,0.36509758897818567
[0.8571428571428571],[0.6818181818181818],[0.5660377358490566],0.9663865546218487,0.16242937853107345,0.27811366384522346
[0.7906976744186046],[0.8360655737704918],[0.8869565217391304],0.968,0.1709039548022599,0.29051620648259274
[0.8888888888888888],[0.8685714285714285],[0.8491620111731844],0.9629629629629629,0.07344632768361582,0.1364829396325458
[0.7294429708222812],[0.7432432432432433],[0.7575757575757576],0.8694690265486725,0.5550847457627118,0.6775862068965511
[0.8237129485179407],[0.7810650887573964],[0.7426160337552743],0.9801324503311258,0.4180790960451977,0.5861386138613857
[0.8187134502923976],[0.6436781609195402],[0.5303030303030303],0.9767441860465116,0.11864406779661017,0.21158690176322398
[0.7180616740088106],[0.8150000000000001],[0.9421965317919075],0.9808612440191388,0.2895480225988701,0.44711014176662994
[0.8461538461538461],[0.842911877394636],[0.8396946564885496],0.9822222222222222,0.3121468926553672,0.4737406216505891
[0.7631578947368421],[0.8467153284671532],[0.9508196721311475],0.9800796812749004,0.3474576271186441,0.5130344108446294
[0.8974358974358975],[0.8818418766290183],[0.8667805294619982],0.9395973154362416,0.5932203389830508,0.7272727272727266
[0.897196261682243],[0.7417900837089504],[0.6322722283205269],0.977961432506887,0.501412429378531,0.6629318394024272
[0.9605263157894737],[0.948051948051948],[0.9358974358974359],0.978021978021978,0.5028248587570622,0.6641791044776114
[0.9295154185022027],[0.9234135667396061],[0.9173913043478261],0.9709443099273608,0.5663841807909604,0.7154326494201602
[0.9318181818181818],[0.6890756302521007],[0.5466666666666666],0.9771573604060914,0.5437853107344632,0.698729582577132
[0.9473684210526315],[0.9230769230769231],[0.9],0.9763157894736842,0.5240112994350282,0.6819852941176466
[0.8571428571428571],[0.3680981595092024],[0.234375],0.985663082437276,0.3884180790960452,0.5572441742654504
[0.9575596816976127],[0.8891625615763548],[0.8298850574712644],0.9042735042735043,0.7471751412429378,0.818252126836813
[0.973568281938326],[0.8983739837398375],[0.8339622641509434],0.9393939393939394,0.7005649717514124,0.8025889967637535
[1.0],[0.6666666666666666],[0.5],0.9709821428571429,0.614406779661017,0.7525951557093421
[0.9605263157894737],[0.9012345679012346],[0.8488372093023255],0.9714964370546318,0.577683615819209,0.7245349867139056
[0.9858532272325375],[0.8824693312227938],[0.7987106017191977],0.8805755395683453,0.864406779661017,0.8724162508909474
[0.9779735682819384],[0.8969696969696969],[0.8283582089552238],0.9440559440559441,0.7627118644067796,0.8437499999999994
[0.8187134502923976],[0.5691056910569106],[0.43613707165109034],0.9891304347826086,0.2570621468926554,0.4080717488789234
[0.8285714285714286],[0.5043478260869566],[0.3625],0.9878787878787879,0.23022598870056496,0.3734249713631153
[0.8770999115826702],[0.8101265822784811],[0.7526555386949925],0.8480392156862745,0.7330508474576272,0.7863636363636357
[0.9538461538461539],[0.6869806094182825],[0.5367965367965368],0.9370629370629371,0.5677966101694916,0.7071240105540892
[0.9473684210526315],[0.9056603773584905],[0.8674698795180723],0.9388235294117647,0.5635593220338984,0.7043248014121795
[0.9814323607427056],[0.896969696969697],[0.8258928571428571],0.9251824817518248,0.7161016949152542,0.8073248407643308
[0.9691629955947136],[0.9341825902335457],[0.9016393442622951],0.9214285714285714,0.7288135593220338,0.8138801261829647
[0.9282371294851794],[0.8156271418779987],[0.7273838630806846],0.9866666666666667,0.5225988700564972,0.6832871652816247
[0.9090909090909091],[0.7339449541284404],[0.6153846153846154],0.9886363636363636,0.4915254237288136,0.6566037735849051
[0.9473684210526315],[0.9473684210526315],[0.9473684210526315],0.9886685552407932,0.4929378531073446,0.6578699340245047
[0.9205607476635514],[0.7690305790500976],[0.6603351955307263],0.989010989010989,0.5084745762711864,0.6716417910447756
[0.8857142857142857],[0.5904761904761905],[0.44285714285714284],0.990909090909091,0.461864406779661,0.6300578034682076
[0.9069767441860465],[0.8210526315789475],[0.75],0.9934640522875817,0.4293785310734463,0.5996055226824453
[0.8604651162790697],[0.8191881918819188],[0.7816901408450704],0.9930795847750865,0.4053672316384181,0.5757271815446334
[0.947136563876652],[0.9471365638766521],[0.947136563876652],0.9885386819484241,0.4872881355932203,0.6527909176915795
[0.9532163742690059],[0.7836538461538461],[0.6653061224489796],0.9920948616600791,0.3545197740112994,0.5223725286160246
[0.9485179407176287],[0.8515406162464986],[0.772554002541296],0.9920844327176781,0.5310734463276836,0.6918123275068992
[0.8682170542635659],[0.7943262411347518],[0.7320261437908496],0.9940119760479041,0.4689265536723164,0.6372360844529746
[0.9473684210526315],[0.9473684210526315],[0.9473684210526315],0.9942028985507246,0.4844632768361582,0.6514719848053176
[0.8769230769230769],[0.7916666666666667],[0.7215189873417721],0.9935064935064936,0.4322033898305085,0.6023622047244089
[0.9090909090909091],[0.761904761904762],[0.6557377049180327],0.9929328621908127,0.3968926553672316,0.5671039354187685
[0.9069767441860465],[0.8297872340425532],[0.7647058823529411],0.9924812030075187,0.3728813559322034,0.5420944558521557
[0.9210526315789473],[0.9090909090909091],[0.8974358974358975],0.992619926199262,0.3799435028248588,0.5495403472931559
[0.9427312775330396],[0.9427312775330396],[0.9427312775330396],0.9893048128342246,0.5225988700564972,0.6839186691312379
[0.8857142857142857],[0.5849056603773585],[0.43661971830985913],0.9941690962099126,0.481638418079096,0.6489058039961936
[0.9605263157894737],[0.8957055214723926],[0.8390804597701149],0.9940298507462687,0.4703389830508475,0.6385426653883025
[0.8571428571428571],[0.4225352112676056],[0.2803738317757009],0.9922178988326849,0.3601694915254237,0.5284974093264245
[0.8187134502923976],[0.625],[0.5054151624548736],0.9918032786885246,0.1709039548022599,0.2915662650602407
[0.8735632183908046],[0.8419258628035791],[0.8125],0.8805147058823529,0.6765536723163842,0.7651757188498397
[0.9840848806366048],[0.9183168316831684],[0.8607888631090487],0.9102990033222591,0.7740112994350282,0.8366412213740453
[0.9252336448598131],[0.7689320388349514],[0.6578073089700996],0.9912023460410557,0.4774011299435028,0.6444232602478547
[0.9532163742690059],[0.8029556650246306],[0.6936170212765957],0.9961389961389961,0.3644067796610169,0.5336091003102373
[0.9515418502202643],[0.927038626609442],[0.9037656903765691],0.993006993006993,0.4011299435028249,0.571428571428571
[0.9691629955947136],[0.9482758620689655],[0.9282700421940928],0.9938271604938271,0.4548022598870056,0.6240310077519375
[0.9902740937223696],[0.9116809116809117],[0.8446455505279035],0.9485714285714286,0.7033898305084746,0.8077858880778583
[0.9779735682819384],[0.9367088607594938],[0.8987854251012146],0.9625246548323472,0.6892655367231638,0.8032921810699583
[0.986784140969163],[0.9014084507042254],[0.8296296296296296],0.9867549668874173,0.6313559322033898,0.7700258397932811
[0.9779735682819384],[0.880952380952381],[0.8014440433212996],0.9905882352941177,0.594632768361582,0.7431597528684903
[0.8571428571428571],[0.3870967741935483],[0.25],0.9934426229508196,0.4279661016949153,0.5982230997038495
[0.9376947040498442],[0.7848761408083442],[0.6748878923766816],0.994413407821229,0.5028248587570622,0.6679174484052528
[0.8245614035087719],[0.6012793176972281],[0.47315436241610737],0.9931972789115646,0.2062146892655367,0.34152046783625695
[0.9964633068081344],[0.8835750686005489],[0.793661971830986],0.92894280762565,0.7570621468926554,0.8342412451361862
[0.9360374414976599],[0.8778346744696415],[0.8264462809917356],0.996996996996997,0.4689265536723164,0.6378482228626317
[0.8857142857142857],[0.6326530612244897],[0.49206349206349204],0.9966996699669967,0.4265536723163842,0.5974282888229471
[0.9964633068081344],[0.8965791567223549],[0.8148951554591468],0.8918128654970761,0.8615819209039548,0.8764367816091949
[0.9318181818181818],[0.5540540540540541],[0.3942307692307692],0.9688109161793372,0.7019774011299436,0.8140868140868136
[0.9605263157894737],[0.8588235294117647],[0.776595744680851],0.9845132743362832,0.6285310734463276,0.7672413793103442
[0.9532163742690059],[0.7893462469733655],[0.6735537190082644],0.9966666666666667,0.422316384180791,0.5932539682539678
[0.9389920424403183],[0.921875],[0.9053708439897699],0.9146757679180887,0.7570621468926554,0.8284389489953627
[0.9605263157894737],[0.811111111111111],[0.7019230769230769],0.9178832116788321,0.71045197740113,0.8009554140127382
[0.9230769230769231],[0.7453416149068324],[0.625],0.9895287958115183,0.5338983050847458,0.6935779816513756
[0.9605263157894737],[0.8538011695906433],[0.7684210526315789],0.9892761394101877,0.5211864406779662,0.6827012025901937
[0.9534883720930233],[0.7735849056603774],[0.6507936507936508],0.997093023255814,0.4844632768361582,0.6520912547528513
[0.8604651162790697],[0.8072727272727273],[0.7602739726027398],0.9966996699669967,0.4265536723163842,0.5974282888229471
[0.973568281938326],[0.9444444444444444],[0.91701244813278],0.9967637540453075,0.4350282485875706,0.6057030481809238
[0.8571428571428571],[0.4195804195804196],[0.2777777777777778],0.9961240310077519,0.3629943502824859,0.5320910973084882
[0.9407176287051482],[0.864516129032258],[0.7997347480106101],0.996996996996997,0.4689265536723164,0.6378482228626317
[0.9691629955947136],[0.8782435129740519],[0.8029197080291971],0.9969230769230769,0.4576271186440678,0.6272991287512096
[0.9069767441860465],[0.7959183673469388],[0.7090909090909091],0.996742671009772,0.4322033898305085,0.6029556650246302
[0.9605263157894737],[0.9419354838709677],[0.9240506329113924],0.996742671009772,0.4322033898305085,0.6029556650246302
[0.9964633068081344],[0.8998003992015968],[0.8202328966521106],0.9014925373134328,0.8531073446327684,0.8766328011611024
[0.9699381078691424],[0.9539130434782609],[0.9384088964927289],0.9440677966101695,0.786723163841808,0.85824345146379
[0.9318181818181818],[0.5857142857142857],[0.4270833333333333],0.9872068230277186,0.653954802259887,0.7867459643160573
[0.9605263157894737],[0.8342857142857143],[0.7373737373737373],0.9953379953379954,0.6031073446327684,0.7510993843447664
[0.8769230769230769],[0.7755102040816327],[0.6951219512195121],0.9970414201183432,0.4759887005649718,0.6443594646271505
[0.942367601246106],[0.8148148148148148],[0.7176749703440095],0.9971671388101983,0.4971751412429379,0.6635249764373229
[0.8527131782945736],[0.7719298245614036],[0.7051282051282052],0.9968152866242038,0.442090395480226,0.6125244618395298
[0.8070175438596491],[0.5835095137420718],[0.45695364238410596],0.9936708860759493,0.22175141242937854,0.3625866050808311
[0.935672514619883],[0.8579088471849865],[0.7920792079207921],1.0,0.20903954802259886,0.34579439252336414
[0.933920704845815],[0.9485458612975392],[0.9636363636363636],0.9957983193277311,0.3347457627118644,0.5010570824524309
[0.8857142857142857],[0.6888888888888889],[0.5636363636363636],0.9957264957264957,0.3290960451977401,0.49469214437367265
[0.9210526315789473],[0.875],[0.8333333333333334],0.995850622406639,0.3389830508474576,0.5057955742887246
[0.9964633068081344],[0.9162601626016261],[0.8480060195635817],0.9842696629213483,0.6186440677966102,0.7597571552471807
[0.9318181818181818],[0.656],[0.5061728395061729],0.9973474801061007,0.5310734463276836,0.693087557603686
[0.8527131782945736],[0.7746478873239436],[0.7096774193548387],0.9967213114754099,0.4293785310734463,0.6001974333662384
[0.9605263157894737],[0.863905325443787],[0.7849462365591398],0.9966887417218543,0.4251412429378531,0.5960396039603956
[0.9532163742690059],[0.8337595907928389],[0.740909090909091],0.99581589958159,0.3361581920903955,0.5026399155227028
[0.9439252336448598],[0.8058510638297873],[0.703016241299304],0.9971428571428571,0.4929378531073446,0.6597353497164457
[0.9885057471264368],[0.9621342512908779],[0.9371332774518022],0.9970414201183432,0.4759887005649718,0.6443594646271505
[0.986784140969163],[0.919917864476386],[0.8615384615384616],0.9967845659163987,0.4378531073446328,0.6084396467124628
[0.8571428571428571],[0.4545454545454546],[0.30927835051546393],0.99581589958159,0.3361581920903955,0.5026399155227028
[0.8857142857142857],[0.7045454545454545],[0.5849056603773585],0.9953488372093023,0.3022598870056497,0.4637053087757309
[0.9647577092511013],[0.9563318777292577],[0.948051948051948],0.9962264150943396,0.3728813559322034,0.5426515930113048
[0.9451812555260831],[0.9373081981587024],[0.9295652173913044],0.9259962049335864,0.6892655367231638,0.7902834008097162
[0.986784140969163],[0.8549618320610688],[0.7542087542087542],0.9708029197080292,0.5635593220338984,0.7131367292225196
[0.9767441860465116],[0.7368421052631579],[0.5915492957746479],0.9917582417582418,0.5098870056497176,0.6735074626865667
[0.8362573099415205],[0.6203904555314533],[0.49310344827586206],1.0,0.20903954802259886,0.34579439252336414
[0.9266770670826833],[0.8774002954209749],[0.8330995792426368],0.9967320261437909,0.4307909604519774,0.6015779092702164
[0.9605263157894737],[0.8957055214723926],[0.8390804597701149],0.9968553459119497,0.4477401129943503,0.6179337231968807
[0.9473684210526315],[0.8727272727272727],[0.8089887640449438],0.9969418960244648,0.4604519774011299,0.6299516908212556
[0.9],[0.8210526315789475],[0.7548387096774194],0.9966555183946488,0.4209039548022599,0.5918570009930482
[0.9964633068081344],[0.9166327775518505],[0.848644578313253],0.9497307001795332,0.7471751412429378,0.8363636363636359
[0.9076923076923077],[0.7539936102236422],[0.644808743169399],0.9973474801061007,0.5310734463276836,0.693087557603686
[0.9235569422776911],[0.8895567242674681],[0.8579710144927536],0.9968454258675079,0.4463276836158192,0.6165853658536581
[0.9470404984423676],[0.8503496503496504],[0.7715736040609137],0.9970760233918129,0.481638418079096,0.6495238095238091
[0.9823788546255506],[0.862669245647969],[0.7689655172413793],0.9968553459119497,0.4477401129943503,0.6179337231968807
[0.9885057471264368],[0.9608938547486033],[0.9347826086956522],0.9968253968253968,0.4435028248587571,0.6138807429130005
[0.995579133510168],[0.9290429042904291],[0.8708430007733952],0.985200845665962,0.6581920903954802,0.7891617273497031
[0.9142857142857143],[0.5714285714285715],[0.4155844155844156],0.9920844327176781,0.5310734463276836,0.6918123275068992
[0.9605263157894737],[0.8538011695906433],[0.7684210526315789],0.9919571045576407,0.5225988700564972,0.6845513413506008
[0.8245614035087719],[0.5766871165644172],[0.44339622641509435],0.9945054945054945,0.2556497175141243,0.4067415730337075
[0.973568281938326],[0.9484978540772532],[0.9246861924686193],0.995260663507109,0.2966101694915254,0.4570184983677907
[0.813953488372093],[0.8333333333333333],[0.8536585365853658],0.9953488372093023,0.3022598870056497,0.4637053087757309
[0.9691629955947136],[0.9586056644880174],[0.9482758620689655],0.9962121212121212,0.3714689265536723,0.5411522633744852
